myday,rating_group_name,rg_id,IMSI,apn,ccr_charge_traffic_mb,daily_capping_mb,capping_status
2026/08/01,RG 1003 - FB_AutoFlex,1003,602030927617668,ETISALAT,,50,within capping
2026/08/01,RG 1060 - DNS,1060,602030915791055,ETISALAT,11663.469221115137,,no capping
2026/08/01,RG 1060 - DNS,1060,602030834975117,ETISALAT,8931.856946945215,,no capping
2026/08/01,RG 1060 - DNS,1060,602030817726647,ETISALAT,6984.898607254004,,no capping
2026/08/01,RG 1060 - DNS,1060,602030818249808,ETISALAT,6231.780301094043,,no capping
2026/08/01,RG 1060 - DNS,1060,602030103443473,ETISALAT,5772.236623764063,,no capping
2026/08/01,RG 1060 - DNS,1060,602030819062071,ETISALAT,5465.520950317383,,no capping
2026/08/01,RG 1060 - DNS,1060,602030126104974,ETISALAT,5225.482838630664,,no capping
2026/08/01,RG 1060 - DNS,1060,602030814714872,ETISALAT,5179.873923301660,,no capping
2026/08/01,RG 1060 - DNS,1060,602030830541006,ETISALAT,4977.065613746680,,no capping
2026/08/01,RG 1060 - DNS,1060,602030828840925,ETISALAT,4707.435118675195,,no capping
2026/08/01,RG 1060 - DNS,1060,602030910121106,ETISALAT,4700.488503456152,,no capping
2026/08/01,RG 1060 - DNS,1060,602030824328563,ETISALAT,4649.762541770898,,no capping
2026/08/01,RG 1060 - DNS,1060,602030128711374,ETISALAT,4623.267194747949,,no capping
2026/08/01,RG 1060 - DNS,1060,602030817072697,ETISALAT,4604.483198165918,,no capping
2026/08/01,RG 1060 - DNS,1060,602030814992125,ETISALAT,4570.682459831250,,no capping
2026/08/01,RG 1060 - DNS,1060,602030850851389,ETISALAT,4479.864675521875,,no capping
2026/08/01,RG 1060 - DNS,1060,602030826312094,ETISALAT,4460.676817893945,,no capping
2026/08/01,RG 1060 - DNS,1060,602030914527580,ETISALAT,4299.220823287988,,no capping
2026/08/01,RG 1060 - DNS,1060,602030911751305,ETISALAT,4233.625661850000,,no capping
2026/08/01,RG 1060 - DNS,1060,602030910949366,ETISALAT,4177.142899513281,,no capping
2026/08/01,RG 1080 - VPN,1080,602030117998465,ETISALAT,31949.510737419141,,no capping
2026/08/01,RG 1080 - VPN,1080,602030915952276,INTERNET.ETISALAT,18270.140184402441,,no capping
2026/08/01,RG 1080 - VPN,1080,602030129921891,INTERNET.ETISALAT,16921.988174438477,,no capping
2026/08/01,RG 1080 - VPN,1080,602030815917083,INTERNET.ETISALAT,16854.188801765430,,no capping
2026/08/01,RG 1080 - VPN,1080,602030959007367,INTERNET.ETISALAT,16628.674292564355,,no capping
2026/08/01,RG 1080 - VPN,1080,602030816699804,INTERNET.ETISALAT,15810.678586006152,,no capping
2026/08/01,RG 1080 - VPN,1080,602030915625561,INTERNET.ETISALAT,15201.963035583496,,no capping
2026/08/01,RG 1080 - VPN,1080,602030916671893,INTERNET.ETISALAT,13653.886445999121,,no capping
2026/08/01,RG 1080 - VPN,1080,602030916665930,INTERNET.ETISALAT,12549.122997283984,,no capping
2026/08/01,RG 1080 - VPN,1080,602030913970544,INTERNET.ETISALAT,11660.674614906348,,no capping
2026/08/01,RG 1080 - VPN,1080,602030958990967,INTERNET.ETISALAT,10117.219220161426,,no capping
2026/08/01,RG 1080 - VPN,1080,602030815908779,INTERNET.ETISALAT,10106.302777290332,,no capping
2026/08/01,RG 1080 - VPN,1080,602030815891418,INTERNET.ETISALAT,10097.473841667188,,no capping
2026/08/01,RG 1080 - VPN,1080,602030915852536,INTERNET.ETISALAT,10042.023478508008,,no capping
2026/08/01,RG 1080 - VPN,1080,602030815847980,INTERNET.ETISALAT,9924.472607612598,,no capping
2026/08/01,RG 1080 - VPN,1080,602030949415835,INTERNET.ETISALAT,9769.220361709570,,no capping
2026/08/01,RG 1080 - VPN,1080,602030916901603,INTERNET.ETISALAT,9511.452549934375,,no capping
2026/08/01,RG 1080 - VPN,1080,602030914001915,INTERNET.ETISALAT,9191.018425941504,,no capping
2026/08/01,RG 1080 - VPN,1080,602030928674361,INTERNET.ETISALAT,8888.307692527734,,no capping
2026/08/01,RG 1080 - VPN,1080,602030959010531,INTERNET.ETISALAT,8767.975244522070,,no capping
2026/08/01,RG 1192 - NTRA & Governmental,1192,602030839597390,STATICPUBLIC3,839.698793411230,500,exceeded capping
2026/08/01,RG 1192 - NTRA & Governmental,1192,602030914776468,ETISALAT,773.054059028613,500,exceeded capping
2026/08/01,RG 1192 - NTRA & Governmental,1192,602030850167014,ETISALAT,670.482760429395,500,exceeded capping
2026/08/01,RG 1192 - NTRA & Governmental,1192,602030119142351,ETISALAT,636.524277687109,500,exceeded capping
2026/08/01,RG 1192 - NTRA & Governmental,1192,602030137460711,ETISALAT,625.925759315527,500,exceeded capping
2026/08/01,RG 1192 - NTRA & Governmental,1192,602030815821963,INTERNET.ETISALAT,590.000968933105,500,exceeded capping
2026/08/01,RG 1192 - NTRA & Governmental,1192,602030819307671,INTERNET.ETISALAT,589.760293006934,500,exceeded capping
2026/08/01,RG 1192 - NTRA & Governmental,1192,602030819343059,ETISALAT,585.313109397852,500,exceeded capping
2026/08/01,RG 1192 - NTRA & Governmental,1192,602030819058288,ETISALAT,580.420234680176,500,exceeded capping
2026/08/01,RG 1192 - NTRA & Governmental,1192,602030826817792,ETISALAT,574.651451110840,500,exceeded capping
2026/08/01,RG 1192 - NTRA & Governmental,1192,602030117737413,ETISALAT,556.048331260645,500,exceeded capping
2026/08/01,RG 1192 - NTRA & Governmental,1192,602030978553411,ETISALAT,556.007884979297,500,exceeded capping
2026/08/01,RG 1192 - NTRA & Governmental,1192,602030996401872,ETISALAT,555.230363845801,500,exceeded capping
