myday,rating_group_name,rg_id,IMSI,apn,ccr_charge_traffic_mb,daily_capping_mb,capping_status
2026/07/29,RG 1003 - FB_AutoFlex,1003,602030927617668,ETISALAT,,50,within capping
2026/07/29,RG 1060 - DNS,1060,602030915791055,ETISALAT,17115.339804649316,,no capping
2026/07/29,RG 1060 - DNS,1060,602030830541006,ETISALAT,13970.807150840723,,no capping
2026/07/29,RG 1060 - DNS,1060,602030817308962,ETISALAT,6566.995930671680,,no capping
2026/07/29,RG 1060 - DNS,1060,602030818620647,ETISALAT,6411.585078239453,,no capping
2026/07/29,RG 1060 - DNS,1060,602030919833971,ETISALAT,6363.630724906934,,no capping
2026/07/29,RG 1060 - DNS,1060,602030911751305,ETISALAT,6090.092016220117,,no capping
2026/07/29,RG 1060 - DNS,1060,602030821239723,ETISALAT,5286.630100250293,,no capping
2026/07/29,RG 1060 - DNS,1060,602030913492870,ETISALAT,4803.229022979785,,no capping
2026/07/29,RG 1060 - DNS,1060,602030827136736,ETISALAT,4585.239282608008,,no capping
2026/07/29,RG 1060 - DNS,1060,602030122102123,ETISALAT,4535.301568984961,,no capping
2026/07/29,RG 1060 - DNS,1060,602030128213573,ETISALAT,4337.501263618457,,no capping
2026/07/29,RG 1060 - DNS,1060,602030136847678,ETISALAT,4311.025096893359,,no capping
2026/07/29,RG 1060 - DNS,1060,602030833105606,ETISALAT,4251.475935935938,,no capping
2026/07/29,RG 1060 - DNS,1060,602030819760538,ETISALAT,4218.288228034961,,no capping
2026/07/29,RG 1060 - DNS,1060,602030835794222,ETISALAT,4196.782996177637,,no capping
2026/07/29,RG 1060 - DNS,1060,602030916532199,ETISALAT,3917.076745986914,,no capping
2026/07/29,RG 1060 - DNS,1060,602030911799608,ETISALAT,3857.532303810156,,no capping
2026/07/29,RG 1060 - DNS,1060,602030126775127,ETISALAT,3836.632587432910,,no capping
2026/07/29,RG 1060 - DNS,1060,602030914888142,ETISALAT,3805.018028259277,,no capping
2026/07/29,RG 1060 - DNS,1060,602030828753405,ETISALAT,3792.092804908789,,no capping
2026/07/29,RG 1080 - VPN,1080,602030916701862,INTERNET.ETISALAT,55770.191887855566,,no capping
