myday,rating_group_name,rg_id,IMSI,apn,ccr_charge_traffic_mb,daily_capping_mb,capping_status
2026/08/02,RG 1003 - FB_AutoFlex,1003,602030927617668,ETISALAT,0E-12,50,within capping
2026/08/02,RG 1060 - DNS,1060,602030918351015,ETISALAT,17136.485096931445,,no capping
2026/08/02,RG 1060 - DNS,1060,602030818289403,ETISALAT,7266.412193298340,,no capping
2026/08/02,RG 1060 - DNS,1060,602030815767772,ETISALAT,7035.077100753809,,no capping
2026/08/02,RG 1060 - DNS,1060,602030916532199,ETISALAT,6390.033888816797,,no capping
2026/08/02,RG 1060 - DNS,1060,602030839144230,ETISALAT,6066.986177444434,,no capping
2026/08/02,RG 1060 - DNS,1060,602030126104974,ETISALAT,5661.360918998730,,no capping
2026/08/02,RG 1060 - DNS,1060,602030824328563,ETISALAT,5506.909634590137,,no capping
2026/08/02,RG 1060 - DNS,1060,602030128711374,ETISALAT,5220.904642105078,,no capping
2026/08/02,RG 1060 - DNS,1060,602030850851389,ETISALAT,5017.618574142480,,no capping
2026/08/02,RG 1060 - DNS,1060,602030819062071,ETISALAT,4974.411993026758,,no capping
2026/08/02,RG 1060 - DNS,1060,602030133463470,ETISALAT,4973.340997695898,,no capping
2026/08/02,RG 1060 - DNS,1060,602030833105606,ETISALAT,4449.417338371289,,no capping
2026/08/02,RG 1060 - DNS,1060,602030098485407,ETISALAT,4355.442299842871,,no capping
2026/08/02,RG 1060 - DNS,1060,602030103443473,ETISALAT,4284.829449653613,,no capping
2026/08/02,RG 1060 - DNS,1060,602030136847678,ETISALAT,4139.105493545508,,no capping
2026/08/02,RG 1060 - DNS,1060,602030115138772,ETISALAT,4098.978784561133,,no capping
2026/08/02,RG 1060 - DNS,1060,602030826312094,ETISALAT,4074.698463439941,,no capping
2026/08/02,RG 1060 - DNS,1060,602030819760533,ETISALAT,3973.028112411523,,no capping
2026/08/02,RG 1060 - DNS,1060,602030814714872,ETISALAT,3850.429149627734,,no capping
2026/08/02,RG 1060 - DNS,1060,602030831410594,ETISALAT,3833.551426887500,,no capping
2026/08/02,RG 1080 - VPN,1080,602030958989138,INTERNET.ETISALAT,45762.626767158496,,no capping
2026/08/02,RG 1080 - VPN,1080,602030916665930,INTERNET.ETISALAT,26589.723506927539,,no capping
2026/08/02,RG 1080 - VPN,1080,602030815917083,INTERNET.ETISALAT,21810.786645889258,,no capping
2026/08/02,RG 1080 - VPN,1080,602030915625561,INTERNET.ETISALAT,20759.770886421191,,no capping
2026/08/02,RG 1080 - VPN,1080,602030938575541,INTERNET.ETISALAT,19397.812358856250,,no capping
2026/08/02,RG 1080 - VPN,1080,602030131132112,ETISALAT,15327.073931694043,,no capping
2026/08/02,RG 1080 - VPN,1080,602030986299750,INTERNET.ETISALAT,12780.776307106055,,no capping
2026/08/02,RG 1080 - VPN,1080,602030917495932,INTERNET.ETISALAT,12117.674043655371,,no capping
2026/08/02,RG 1080 - VPN,1080,602030978640945,INTERNET.ETISALAT,11774.544345855762,,no capping
2026/08/02,RG 1080 - VPN,1080,602030914001915,INTERNET.ETISALAT,11546.403932571387,,no capping
2026/08/02,RG 1080 - VPN,1080,602030131133457,ETISALAT,10446.153341293359,,no capping
2026/08/02,RG 1080 - VPN,1080,602030914057477,INTERNET.ETISALAT,9925.227813720703,,no capping
2026/08/02,RG 1080 - VPN,1080,602030916719352,INTERNET.ETISALAT,9586.216903686523,,no capping
2026/08/02,RG 1080 - VPN,1080,602030928674361,INTERNET.ETISALAT,9577.057341575586,,no capping
2026/08/02,RG 1080 - VPN,1080,602030938985113,INTERNET.ETISALAT,9380.280466079688,,no capping
2026/08/02,RG 1080 - VPN,1080,602030814050489,INTERNET.ETISALAT,9117.888855934180,,no capping
2026/08/02,RG 1080 - VPN,1080,602030826938320,INTERNET.ETISALAT,9003.194540977441,,no capping
2026/08/02,RG 1080 - VPN,1080,602030916701544,INTERNET.ETISALAT,8853.501446723926,,no capping
2026/08/02,RG 1080 - VPN,1080,602030959010531,INTERNET.ETISALAT,8688.707538604785,,no capping
2026/08/02,RG 1080 - VPN,1080,602030819297418,INTERNET.ETISALAT,8615.411647796680,,no capping
2026/08/02,RG 1192 - NTRA & Governmental,1192,602030839597390,STATICPUBLIC3,774.766418457031,500,exceeded capping
2026/08/02,RG 1192 - NTRA & Governmental,1192,602030816097616,ETISALAT,768.956610679590,500,exceeded capping
2026/08/02,RG 1192 - NTRA & Governmental,1192,602030125885232,ETISALAT,754.521176338184,500,exceeded capping
2026/08/02,RG 1192 - NTRA & Governmental,1192,602030128679921,ETISALAT,668.028650283789,500,exceeded capping
2026/08/02,RG 1192 - NTRA & Governmental,1192,602030124162680,ETISALAT,584.015937805176,500,exceeded capping
2026/08/02,RG 1192 - NTRA & Governmental,1192,602030913224997,ETISALAT,583.724350929297,500,exceeded capping
2026/08/02,RG 1192 - NTRA & Governmental,1192,602030837977838,ETISALAT,573.516634941113,500,exceeded capping
2026/08/02,RG 1192 - NTRA & Governmental,1192,602030948931932,ETISALAT,559.510243415820,500,exceeded capping
2026/08/02,RG 1192 - NTRA & Governmental,1192,602030120712443,ETISALAT,559.424615859961,500,exceeded capping
2026/08/02,RG 1192 - NTRA & Governmental,1192,602030835786692,ETISALAT,555.417003631641,500,exceeded capping
2026/08/02,RG 1192 - NTRA & Governmental,1192,602030139113059,ETISALAT,549.091992378223,500,exceeded capping
2026/08/02,RG 1192 - NTRA & Governmental,1192,602030817706717,ETISALAT,542.005709648145,500,exceeded capping
2026/08/02,RG 1192 - NTRA & Governmental,1192,602030138655738,ETISALAT,535.466097831738,500,exceeded capping
2026/08/02,RG 1192 - NTRA & Governmental,1192,602030979438787,ETISALAT,531.684515953027,500,exceeded capping
2026/08/02,RG 1192 - NTRA & Governmental,1192,602030815126494,ETISALAT,530.524168014551,500,exceeded capping
2026/08/02,RG 1192 - NTRA & Governmental,1192,602030835670560,ETISALAT,528.007147788965,500,exceeded capping
2026/08/02,RG 1192 - NTRA & Governmental,1192,602030821377913,ETISALAT,525.970419883691,500,exceeded capping
2026/08/02,RG 1192 - NTRA & Governmental,1192,602030911886252,ETISALAT,525.554586410547,500,exceeded capping
2026/08/02,RG 1192 - NTRA & Governmental,1192,602030831380007,ETISALAT,524.503931045508,500,exceeded capping
2026/08/02,RG 1192 - NTRA & Governmental,1192,602030818343834,ETISALAT,524.380170822168,500,exceeded capping
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,602030818189722,INTERNET.ETISALAT,4826.693273544336,250,exceeded capping
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,602030810217405,INTERNET.ETISALAT,448.556532859766,250,exceeded capping
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,602030812077898,ETISALAT,436.003056526172,250,exceeded capping
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,602030985038241,ETISALAT,392.093801498438,250,exceeded capping
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,602030850852860,ETISALAT,380.979915618945,250,exceeded capping
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,602030835786692,ETISALAT,309.510593414355,250,exceeded capping
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,602030936967581,ETISALAT,309.059708595313,250,exceeded capping
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,602030117623796,ETISALAT,303.955364227344,250,exceeded capping
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,602030150699916,ETISALAT,302.513572692871,250,exceeded capping
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,602030134667833,ETISALAT,299.011252403223,250,exceeded capping
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,602030810318630,ETISALAT,288.507766723633,250,exceeded capping
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,602030968683622,ETISALAT,285.005681991602,250,exceeded capping
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,602030830056860,ETISALAT,284.874840736426,250,exceeded capping
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,602030137482731,ETISALAT,279.463531494141,250,exceeded capping
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,602030128443730,ETISALAT,278.322566032422,250,exceeded capping
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,602030917454787,ETISALAT,278.006161689746,250,exceeded capping
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,602030918325783,ETISALAT,278.006063461328,250,exceeded capping
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,602030982343119,ETISALAT,276.879725456250,250,exceeded capping
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,602030957139084,ETISALAT,274.805754661523,250,exceeded capping
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,602030135126462,ETISALAT,274.506916999805,250,exceeded capping
2026/08/02,RG 1197 - Ta3leemy,1197,602030915945355,INTERNET.ETISALAT,1023.362012863184,500,exceeded capping
2026/08/02,RG 1197 - Ta3leemy,1197,602030810717637,INTERNET.ETISALAT,809.679129600488,500,exceeded capping
2026/08/02,RG 1197 - Ta3leemy,1197,602030915920983,INTERNET.ETISALAT,587.780469894434,500,exceeded capping
2026/08/02,RG 1197 - Ta3leemy,1197,602030915870991,INTERNET.ETISALAT,467.428331375098,500,within capping
2026/08/02,RG 1197 - Ta3leemy,1197,602030986307043,INTERNET.ETISALAT,453.482950210547,500,within capping
2026/08/02,RG 1197 - Ta3leemy,1197,602030915912157,INTERNET.ETISALAT,322.795254707324,500,within capping
2026/08/02,RG 1197 - Ta3leemy,1197,602030815808993,INTERNET.ETISALAT,118.205592155469,500,within capping
2026/08/02,RG 1197 - Ta3leemy,1197,602030819311225,INTERNET.ETISALAT,106.337014198340,500,within capping
2026/08/02,RG 1197 - Ta3leemy,1197,602030915881828,INTERNET.ETISALAT,99.341213226367,500,within capping
2026/08/02,RG 1197 - Ta3leemy,1197,602030916701972,INTERNET.ETISALAT,78.668273925781,500,within capping
2026/08/02,RG 1197 - Ta3leemy,1197,602030915844167,INTERNET.ETISALAT,62.293010711719,500,within capping
2026/08/02,RG 1197 - Ta3leemy,1197,602030819306461,INTERNET.ETISALAT,52.869653701758,500,within capping
2026/08/02,RG 1197 - Ta3leemy,1197,602030978485870,INTERNET.ETISALAT,36.048084259082,500,within capping
2026/08/02,RG 1197 - Ta3leemy,1197,602030815860558,INTERNET.ETISALAT,26.807904243457,500,within capping
2026/08/02,RG 1197 - Ta3leemy,1197,602030915944633,INTERNET.ETISALAT,18.400968551660,500,within capping
2026/08/02,RG 1197 - Ta3leemy,1197,602030915920964,INTERNET.ETISALAT,12.218042373633,500,within capping
2026/08/02,RG 1197 - Ta3leemy,1197,602030919315204,INTERNET.ETISALAT,11.369187355078,500,within capping
2026/08/02,RG 1197 - Ta3leemy,1197,602030819306651,INTERNET.ETISALAT,11.302191734277,500,within capping
2026/08/02,RG 1197 - Ta3leemy,1197,602030815815954,INTERNET.ETISALAT,10.282793998730,500,within capping
2026/08/02,RG 1197 - Ta3leemy,1197,602030810668050,INTERNET.ETISALAT,9.394145011914,500,within capping
2026/08/02,RG 1202 - Speed test,1202,602030826197546,ETISALAT,500.000000953711,500,exceeded capping
2026/08/02,RG 1202 - Speed test,1202,602030939918649,ETISALAT,480.067132949805,500,within capping
2026/08/02,RG 1202 - Speed test,1202,602030818440957,ETISALAT,480.056042671191,500,within capping
2026/08/02,RG 1202 - Speed test,1202,602030817923980,ETISALAT,480.033059120215,500,within capping
2026/08/02,RG 1202 - Speed test,1202,602030838935699,ETISALAT,480.000000953711,500,within capping
2026/08/02,RG 1202 - Speed test,1202,602030913491545,ETISALAT,480.000000953711,500,within capping
2026/08/02,RG 1202 - Speed test,1202,602030816727604,ETISALAT,480.000000953711,500,within capping
2026/08/02,RG 1202 - Speed test,1202,602030140137363,ETISALAT,479.999103546191,500,within capping
2026/08/02,RG 1202 - Speed test,1202,602030811530537,ETISALAT,477.396155357324,500,within capping
2026/08/02,RG 1202 - Speed test,1202,602030956052391,ETISALAT,476.069885253906,500,within capping
2026/08/02,RG 1202 - Speed test,1202,602030120101142,ETISALAT,471.497864723242,500,within capping
2026/08/02,RG 1202 - Speed test,1202,602030916303750,ETISALAT,459.175469398535,500,within capping
