myday,rating_group_name,rg_id,IMSI,apn,ccr_charge_traffic_mb,daily_capping_mb,capping_status
2026/07/30,RG 1060 - DNS,1060,602030913660213,ETISALAT,8924.530230522168,,no capping
2026/07/30,RG 1060 - DNS,1060,602030830541006,ETISALAT,8447.194558143652,,no capping
2026/07/30,RG 1060 - DNS,1060,602030911751305,ETISALAT,7382.671639442480,,no capping
2026/07/30,RG 1060 - DNS,1060,602030915791055,ETISALAT,7117.441525459277,,no capping
2026/07/30,RG 1060 - DNS,1060,602030109602328,ETISALAT,6773.357233047461,,no capping
2026/07/30,RG 1060 - DNS,1060,602030914888142,ETISALAT,6725.517081260645,,no capping
2026/07/30,RG 1060 - DNS,1060,602030814714872,ETISALAT,6378.489414215137,,no capping
2026/07/30,RG 1060 - DNS,1060,602030833105606,ETISALAT,6264.492174148535,,no capping
2026/07/30,RG 1060 - DNS,1060,602030916532199,ETISALAT,6227.333690643359,,no capping
2026/07/30,RG 1060 - DNS,1060,602030103443473,ETISALAT,5831.302748680078,,no capping
2026/07/30,RG 1060 - DNS,1060,602030911382393,ETISALAT,5760.871068954492,,no capping
2026/07/30,RG 1060 - DNS,1060,602030919833971,ETISALAT,5549.672981262207,,no capping
2026/07/30,RG 1060 - DNS,1060,602030126104974,ETISALAT,5236.760308265723,,no capping
2026/07/30,RG 1060 - DNS,1060,602030125628002,ETISALAT,5198.930233955371,,no capping
2026/07/30,RG 1060 - DNS,1060,602030913492870,ETISALAT,5155.814856529199,,no capping
2026/07/30,RG 1060 - DNS,1060,602030916937851,ETISALAT,5090.576143264746,,no capping
2026/07/30,RG 1060 - DNS,1060,602030827136736,ETISALAT,5088.688694000293,,no capping
2026/07/30,RG 1060 - DNS,1060,602030814992125,ETISALAT,5027.839093208301,,no capping
2026/07/30,RG 1060 - DNS,1060,602030133463470,ETISALAT,4513.268105506934,,no capping
2026/07/30,RG 1060 - DNS,1060,602030914969652,ETISALAT,4322.647646904004,,no capping
2026/07/30,RG 1080 - VPN,1080,602030979289812,INTERNET.ETISALAT,38331.793850898730,,no capping
2026/07/30,RG 1080 - VPN,1080,602030958989138,INTERNET.ETISALAT,31106.797518730176,,no capping
2026/07/30,RG 1080 - VPN,1080,602030915625561,INTERNET.ETISALAT,20192.829098701465,,no capping
2026/07/30,RG 1080 - VPN,1080,602030938511487,INTERNET.ETISALAT,17111.934982299805,,no capping
2026/07/30,RG 1080 - VPN,1080,602030915886687,INTERNET.ETISALAT,16225.142495155371,,no capping
2026/07/30,RG 1080 - VPN,1080,602030837076798,INTERNET.ETISALAT,13942.714770317090,,no capping
2026/07/30,RG 1080 - VPN,1080,602030816699804,INTERNET.ETISALAT,12622.446089744531,,no capping
2026/07/30,RG 1080 - VPN,1080,602030986299750,INTERNET.ETISALAT,12368.861385345508,,no capping
2026/07/30,RG 1080 - VPN,1080,602030915944557,INTERNET.ETISALAT,11761.231334686328,,no capping
2026/07/30,RG 1080 - VPN,1080,602030915847298,INTERNET.ETISALAT,11674.984436988867,,no capping
2026/07/30,RG 1080 - VPN,1080,602030916717965,INTERNET.ETISALAT,11424.705910682715,,no capping
2026/07/30,RG 1080 - VPN,1080,602030910054236,ETISALAT,11364.334848403906,,no capping
2026/07/30,RG 1080 - VPN,1080,602030131130696,ETISALAT,11188.828278541602,,no capping
2026/07/30,RG 1080 - VPN,1080,602030916701862,INTERNET.ETISALAT,11140.766910553027,,no capping
2026/07/30,RG 1080 - VPN,1080,602030138581152,INTERNET.ETISALAT,10733.522342681934,,no capping
2026/07/30,RG 1080 - VPN,1080,602030928674361,INTERNET.ETISALAT,10708.598963737500,,no capping
2026/07/30,RG 1080 - VPN,1080,602030819297418,INTERNET.ETISALAT,10260.072744369531,,no capping
2026/07/30,RG 1080 - VPN,1080,602030916667782,INTERNET.ETISALAT,9892.880841255176,,no capping
2026/07/30,RG 1080 - VPN,1080,602030138549242,INTERNET.ETISALAT,9773.840534210254,,no capping
2026/07/30,RG 1080 - VPN,1080,602030126483844,ETISALAT,9595.347304344141,,no capping
2026/07/30,RG 1165 - shuffle music,1165,602030137579068,ETISALAT,0.000457763672,,no capping
2026/07/30,RG 1192 - NTRA & Governmental,1192,602030818189722,INTERNET.ETISALAT,1213.375854492188,500,exceeded capping
2026/07/30,RG 1192 - NTRA & Governmental,1192,602030817153858,INTERNET.ETISALAT,937.999162673926,500,exceeded capping
2026/07/30,RG 1192 - NTRA & Governmental,1192,602030839597390,STATICPUBLIC3,765.457068443262,500,exceeded capping
2026/07/30,RG 1192 - NTRA & Governmental,1192,602030997075347,ETISALAT,677.227513313281,500,exceeded capping
2026/07/30,RG 1192 - NTRA & Governmental,1192,602030134482267,ETISALAT,675.035074233984,500,exceeded capping
2026/07/30,RG 1192 - NTRA & Governmental,1192,602030912811294,ETISALAT,640.611943244922,500,exceeded capping
2026/07/30,RG 1192 - NTRA & Governmental,1192,602030811036798,ETISALAT,639.221197128320,500,exceeded capping
2026/07/30,RG 1192 - NTRA & Governmental,1192,602030815494798,ETISALAT,633.023690223730,500,exceeded capping
2026/07/30,RG 1192 - NTRA & Governmental,1192,602030815072471,ETISALAT,630.271018028223,500,exceeded capping
2026/07/30,RG 1192 - NTRA & Governmental,1192,602030828002641,ETISALAT,619.021532058691,500,exceeded capping
2026/07/30,RG 1192 - NTRA & Governmental,1192,602030911436311,ETISALAT,614.615797042871,500,exceeded capping
2026/07/30,RG 1192 - NTRA & Governmental,1192,602030121935778,ETISALAT,611.955483436621,500,exceeded capping
2026/07/30,RG 1192 - NTRA & Governmental,1192,602030108103224,ETISALAT,608.632060050977,500,exceeded capping
2026/07/30,RG 1192 - NTRA & Governmental,1192,602030813661610,ETISALAT,601.515576362598,500,exceeded capping
2026/07/30,RG 1192 - NTRA & Governmental,1192,602030138480418,ETISALAT,594.518055915820,500,exceeded capping
2026/07/30,RG 1192 - NTRA & Governmental,1192,602030133908935,ETISALAT,591.014645576465,500,exceeded capping
2026/07/30,RG 1192 - NTRA & Governmental,1192,602030134212806,ETISALAT,583.213525772070,500,exceeded capping
2026/07/30,RG 1192 - NTRA & Governmental,1192,602030812714684,INTERNET.ETISALAT,583.148448944141,500,exceeded capping
2026/07/30,RG 1192 - NTRA & Governmental,1192,602030916120678,ETISALAT,581.113591194141,500,exceeded capping
2026/07/30,RG 1192 - NTRA & Governmental,1192,602030917899748,ETISALAT,580.957874298145,500,exceeded capping
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,602030818189722,INTERNET.ETISALAT,5631.660341262793,250,exceeded capping
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,602030139662965,INTERNET.ETISALAT,752.619423866309,250,exceeded capping
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,602030826994424,ETISALAT,460.043886184668,250,exceeded capping
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,602030138807738,ETISALAT,395.175113678027,250,exceeded capping
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,602030824853325,ETISALAT,387.971620559668,250,exceeded capping
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,602030828167381,ETISALAT,386.511604309082,250,exceeded capping
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,602030913342657,ETISALAT,381.337138175977,250,exceeded capping
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,602030124587750,ETISALAT,377.477393150293,250,exceeded capping
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,602030130596503,ETISALAT,373.973844528223,250,exceeded capping
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,602030910119558,ETISALAT,367.124174118066,250,exceeded capping
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,602030108103224,ETISALAT,366.811129570020,250,exceeded capping
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,602030928667678,INTERNET.ETISALAT,342.384393691992,250,exceeded capping
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,602030095739365,ETISALAT,341.016612052930,250,exceeded capping
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,602030810511298,ETISALAT,339.971449851953,250,exceeded capping
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,602030850846909,ETISALAT,334.234135627734,250,exceeded capping
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,602030824762049,ETISALAT,330.274704933203,250,exceeded capping
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,602030133760366,ETISALAT,329.118165016211,250,exceeded capping
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,602030910822877,ETISALAT,327.012886047363,250,exceeded capping
