path,gw,apn,pool_name,vpn_instance,section,start_ip,end_ip
Alex,AAUPF39,etisalat,aa_etisalat_mi_ipv6,Gi_MI_IPv6,25,2C0F:FC88:1D::,2C0F:FC88:1D:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,AAUPF39,etisalat,aa_etisalat_mi,Gi_MI_IPv4,26,10.174.192.0,10.174.255.255
Alex,AAUPF39,etisalat,aa_etisalat_mi_ipv6,Gi_MI_IPv6,26,2C0F:FC88:31::,2C0F:FC88:31:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,AAUPF39,etisalat,aa_etisalat_mi,Gi_MI_IPv4,27,10.140.0.0,10.140.127.255
Alex,AAUPF39,etisalat,aa_etisalat_mi_ipv6,Gi_MI_IPv6,27,2C0F:FC88:41::,2C0F:FC88:41:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,AAUPF39,etisalat,aa_etisalat_mi,Gi_MI_IPv4,28,10.140.128.0,10.140.255.255
Alex,AAUPF39,etisalat,aa_etisalat_mi,Gi_MI_IPv4,29,10.108.128.0,10.108.255.255
Alex,AAUPF39,etisalat,aa_etisalat_mi,Gi_MI_IPv4,30,10.114.128.0,10.114.191.255
Alex,AAUPF39,etisalat,aa_etisalat_mi,Gi_MI_IPv4,31,10.24.64.0,10.24.127.255
Alex,AAUPF39,etisalat,aa_etisalat_mi,Gi_MI_IPv4,32,10.104.0.0,10.104.63.255
Alex,AAUPF39,etisalat,aa_etisalat_mi,Gi_MI_IPv4,33,10.104.128.0,10.104.191.255
Alex,AAUPF39,etisalat,aa_etisalat_mi,Gi_MI_IPv4,34,10.136.128.0,10.136.255.255
Alex,AAUPF39,etisalat,aa_etisalat_mi,Gi_MI_IPv4,35,10.69.128.0,10.69.191.255
Alex,AAUPF39,etisalat,aa_etisalat_mi,Gi_MI_IPv4,36,10.112.0.0,10.112.63.255
Alex,AAUPF39,etisalat,aa_etisalat_mi,Gi_MI_IPv4,37,10.139.64.0,10.139.127.255
Alex,AAUPF39,etisalat,aa_etisalat_mi,Gi_MI_IPv4,38,10.30.0.0,10.30.127.255
Alex,AAUPF39,etisalat,aa_etisalat_mi,Gi_MI_IPv4,39,10.30.128.0,10.30.255.255
Alex,AAUPF39,etisalat,aa_etisalat_mi,Gi_MI_IPv4,40,10.31.0.0,10.31.127.255
Alex,AAUPF39,etisalat,aa_etisalat_mi,Gi_MI_IPv4,41,10.31.128.0,10.31.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,0,10.87.1.0,10.87.1.255
Alex,APUPF41,etisalat,ap_etisalat_mi_2,Gi_MI_IPv4,0,10.87.4.0,10.87.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,0,2C0F:FC88:B3::,2C0F:FC88:B3:7FFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,1,10.87.128.0,10.87.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi_2,Gi_MI_IPv4,1,10.159.4.0,10.159.63.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,1,2C0F:FC88:B3:8000::,2C0F:FC88:B3:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,2,10.2.0.0,10.2.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,2,2C0F:FC88:B4::,2C0F:FC88:B4:7FFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,3,10.2.128.0,10.2.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,3,2C0F:FC88:B4:8000::,2C0F:FC88:B4:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,4,10.147.0.0,10.147.63.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,4,2C0F:FC88:B5::,2C0F:FC88:B5:7FFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,5,10.147.64.0,10.147.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,5,2C0F:FC88:B5:8000::,2C0F:FC88:B5:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,6,10.147.128.0,10.147.191.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,6,2C0F:FC88:1A5::,2C0F:FC88:1A5:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,7,10.147.192.0,10.147.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,7,2C0F:FC88:1A6::,2C0F:FC88:1A6:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,8,10.81.0.0,10.81.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,8,2C0F:FC88:1A7::,2C0F:FC88:1A7:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,9,10.81.128.0,10.81.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,9,2C0F:FC88:1A8::,2C0F:FC88:1A8:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,10,10.159.1.0,10.159.1.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,10,2C0F:FC88:18F::,2C0F:FC88:18F:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,11,10.159.64.0,10.159.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,11,2C0F:FC88:190::,2C0F:FC88:190:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,12,10.159.128.0,10.159.191.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,12,2C0F:FC88:18E::,2C0F:FC88:18E:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,13,10.159.192.0,10.159.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,13,2C0F:FC88:18D::,2C0F:FC88:18D:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,14,10.65.0.0,10.65.63.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,14,2C0F:FC88:18C::,2C0F:FC88:18C:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,15,10.65.64.0,10.65.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,15,2C0F:FC88:18B::,2C0F:FC88:18B:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,16,10.65.128.0,10.65.191.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,16,2C0F:FC88:186::,2C0F:FC88:186:FFFF:FFFF:FFFF:FFFF:FFFF
