myday,rating_group_name,rg_id,apn,ccr_charge_traffic_mb
2026/07/28,RG 1192 - NTRA & Governmental,1192,ETISALAT,15772761.751180648828
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,ETISALAT,15704765.372633933984
2026/07/28,RG 1060 - DNS,1060,ETISALAT,13684591.187242507910
2026/07/28,RG 1080 - VPN,1080,INTERNET.ETISALAT,1910028.490599632227
2026/07/28,RG 1080 - VPN,1080,ETISALAT,1172575.842373847949
2026/07/28,RG 1060 - DNS,1060,INTERNET.ETISALAT,442216.528579711914
2026/07/28,RG 1202 - Speed test,1202,ETISALAT,190532.647023200977
2026/07/28,RG 1192 - NTRA & Governmental,1192,INTERNET.ETISALAT,176489.706063270605
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,INTERNET.ETISALAT,56330.135224342383
2026/07/28,RG 1060 - DNS,1060,FWA.ETISALAT,48374.171355247461
2026/07/28,RG 1080 - VPN,1080,FWA.ETISALAT,23932.725986480762
2026/07/28,RG 1192 - NTRA & Governmental,1192,FWA.ETISALAT,13191.689605712891
2026/07/28,RG 1197 - Ta3leemy,1197,INTERNET.ETISALAT,10294.035671234180
2026/07/28,RG 1080 - VPN,1080,STATICPUBLIC3,6854.135150909473
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,FWA.ETISALAT,2936.052319526660
2026/07/28,RG 1192 - NTRA & Governmental,1192,STATICPUBLIC3,2345.498469352734
2026/07/28,RG 1060 - DNS,1060,OPAY,2314.323175430273
2026/07/28,RG 1060 - DNS,1060,AB-ETISALAT,1445.809704780566
2026/07/28,RG 1060 - DNS,1060,GEDIA,1290.199436187793
2026/07/28,RG 1060 - DNS,1060,MOMKEN,797.538710594141
2026/07/28,RG 1060 - DNS,1060,TAMWELY,462.602080345117
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,STATICPUBLIC3,315.659869194043
2026/07/28,RG 1060 - DNS,1060,GEIDEA,238.600969314551
2026/07/28,RG 1060 - DNS,1060,ALARABY,177.559367179883
2026/07/28,RG 1060 - DNS,1060,NPO.HS,144.600328445410
2026/07/28,RG 1060 - DNS,1060,STATICPUBLIC3,79.635848045313
2026/07/28,RG 1060 - DNS,1060,MAAK,60.391302108789
2026/07/28,RG 1060 - DNS,1060,CIVIL-PROTECTION,36.737583160449
2026/07/28,RG 1060 - DNS,1060,ELARABY.INT,26.234269142188
2026/07/28,RG 1060 - DNS,1060,KASHIER1,22.929882049609
2026/07/28,RG 1060 - DNS,1060,PAYMOB,21.218673706055
2026/07/28,RG 1060 - DNS,1060,GO.ETISALAT,17.260420799219
2026/07/28,RG 1060 - DNS,1060,THEQAPAY,14.867961883594
2026/07/28,RG 1060 - DNS,1060,PEPSICO2,13.381744384766
2026/07/28,RG 1060 - DNS,1060,EASTERNEGYPT.PUBLIC,11.360366821289
2026/07/28,RG 1060 - DNS,1060,STATIC,9.041522026074
2026/07/28,RG 1060 - DNS,1060,PEPSICO,8.162128448535
2026/07/28,RG 1060 - DNS,1060,LIME,6.980480194141
2026/07/28,RG 1080 - VPN,1080,NPO.HS,6.517975807227
2026/07/28,RG 1060 - DNS,1060,ISCORE.CUST,3.796989440918
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,NPO.HS,3.520644187891
2026/07/28,RG 1060 - DNS,1060,MACDONALD,3.181532859766
2026/07/28,RG 1060 - DNS,1060,DG,2.615413665820
2026/07/28,RG 1060 - DNS,1060,AREEBAEET,2.592845916797
2026/07/28,RG 1060 - DNS,1060,EGCASH.CAM,1.848782539355
2026/07/28,RG 1202 - Speed test,1202,INTERNET.ETISALAT,1.811374664355
2026/07/28,RG 1060 - DNS,1060,GCSDC,1.797878265430
2026/07/28,RG 1202 - Speed test,1202,FWA.ETISALAT,0.432705879199
2026/07/28,RG 1060 - DNS,1060,CISCO1,0.366210937500
2026/07/28,RG 1080 - VPN,1080,CISCO1,0.294566154492
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,TAMWELY,0.263895988477
2026/07/28,RG 1060 - DNS,1060,GS-EETC,0.254611969043
2026/07/28,RG 1060 - DNS,1060,ECFC,0.173240661621
2026/07/28,RG 1192 - NTRA & Governmental,1192,STATIC,0.168188095117
2026/07/28,RG 1060 - DNS,1060,COMBO.ETISALAT,0.100811004688
2026/07/28,RG 1080 - VPN,1080,SUPERPAY,0.078536987305
2026/07/28,RG 1060 - DNS,1060,STS,0.066925048828
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,CISCO1,0.057059287988
2026/07/28,RG 1192 - NTRA & Governmental,1192,EASTERNEGYPT.PUBLIC,0.035345077539
2026/07/28,RG 1060 - DNS,1060,ETISALAT.DGW.TEST,0.035072326660
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,MAAK,0.025254249609
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,ISCORE.CUST,0.024485588086
2026/07/28,RG 1060 - DNS,1060,ELMENUS,0.023422241211
2026/07/28,RG 1060 - DNS,1060,SHC-WATER,0.017555236816
2026/07/28,RG 1192 - NTRA & Governmental,1192,OPAY,0.013181686426
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,STATIC,0.012149810840
