myday,rating_group_name,rg_id,apn,ccr_charge_traffic_mb
2026/08/02,RG 1192 - NTRA & Governmental,1192,ETISALAT,16679994.240052223242
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,ETISALAT,16010616.956022262598
2026/08/02,RG 1060 - DNS,1060,ETISALAT,12880503.136015891992
2026/08/02,RG 1080 - VPN,1080,INTERNET.ETISALAT,1786980.524984359766
2026/08/02,RG 1080 - VPN,1080,ETISALAT,1223666.259342193652
2026/08/02,RG 1060 - DNS,1060,INTERNET.ETISALAT,462975.941968917871
2026/08/02,RG 1192 - NTRA & Governmental,1192,INTERNET.ETISALAT,170329.831107139551
2026/08/02,RG 1202 - Speed test,1202,ETISALAT,144011.559042930566
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,INTERNET.ETISALAT,67770.563975334180
2026/08/02,RG 1060 - DNS,1060,FWA.ETISALAT,45134.609571456934
2026/08/02,RG 1080 - VPN,1080,FWA.ETISALAT,30909.427599906934
2026/08/02,RG 1192 - NTRA & Governmental,1192,FWA.ETISALAT,10170.986224174512
2026/08/02,RG 1080 - VPN,1080,STATICPUBLIC3,6914.342956542969
2026/08/02,RG 1197 - Ta3leemy,1197,INTERNET.ETISALAT,4453.703502655078
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,FWA.ETISALAT,2763.245233535742
2026/08/02,RG 1060 - DNS,1060,OPAY,2295.758426666309
2026/08/02,RG 1192 - NTRA & Governmental,1192,STATICPUBLIC3,1809.885889053320
2026/08/02,RG 1060 - DNS,1060,AB-ETISALAT,1597.591498374902
2026/08/02,RG 1060 - DNS,1060,GEDIA,1308.147227287305
2026/08/02,RG 1060 - DNS,1060,MOMKEN,787.564534187305
2026/08/02,RG 1060 - DNS,1060,TAMWELY,447.168559074414
2026/08/02,RG 1060 - DNS,1060,NPO.HS,277.960452079785
2026/08/02,RG 1060 - DNS,1060,GEIDEA,235.952768325781
2026/08/02,RG 1060 - DNS,1060,ALARABY,121.399309158301
2026/08/02,RG 1060 - DNS,1060,STATICPUBLIC3,82.675210952734
2026/08/02,RG 1060 - DNS,1060,ELARABY.INT,59.704555511523
2026/08/02,RG 1060 - DNS,1060,MAAK,51.933506965625
2026/08/02,RG 1060 - DNS,1060,CIVIL-PROTECTION,45.790832519531
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,STATICPUBLIC3,45.749074935938
2026/08/02,RG 1060 - DNS,1060,KASHIER1,28.522441864063
2026/08/02,RG 1060 - DNS,1060,PEPSICO2,26.414975166309
2026/08/02,RG 1060 - DNS,1060,PAYMOB,18.192096710254
2026/08/02,RG 1080 - VPN,1080,NPO.HS,15.086771011328
2026/08/02,RG 1060 - DNS,1060,THEQAPAY,14.815120697070
2026/08/02,RG 1060 - DNS,1060,EASTERNEGYPT.PUBLIC,13.323925018359
2026/08/02,RG 1060 - DNS,1060,PEPSICO,12.783519744922
2026/08/02,RG 1060 - DNS,1060,LIME,10.459307670605
2026/08/02,RG 1060 - DNS,1060,STATIC,9.206691741992
2026/08/02,RG 1060 - DNS,1060,GO.ETISALAT,6.471065521289
2026/08/02,RG 1060 - DNS,1060,MACDONALD,5.450992584277
2026/08/02,RG 1060 - DNS,1060,ISCORE.CUST,3.077602386523
2026/08/02,RG 1202 - Speed test,1202,INTERNET.ETISALAT,2.081090927148
2026/08/02,RG 1060 - DNS,1060,AREEBAEET,2.030296325684
2026/08/02,RG 1060 - DNS,1060,EGCASH.CAM,1.987995147754
2026/08/02,RG 1060 - DNS,1060,COMBO.ETISALAT,1.107072830176
2026/08/02,RG 1060 - DNS,1060,GCSDC,0.968971252441
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,STATIC,0.928847312891
2026/08/02,RG 1060 - DNS,1060,DG,0.846260070801
2026/08/02,RG 1060 - DNS,1060,ETISALAT.DGW.TEST,0.509963989258
2026/08/02,RG 1080 - VPN,1080,STATIC,0.484793662988
2026/08/02,RG 1192 - NTRA & Governmental,1192,STATIC,0.300404548633
2026/08/02,RG 1202 - Speed test,1202,FWA.ETISALAT,0.297604560840
2026/08/02,RG 1060 - DNS,1060,MOHP-ET,0.295658111621
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,TAMWELY,0.265810012793
2026/08/02,RG 1060 - DNS,1060,DARY,0.239143371582
2026/08/02,RG 1060 - DNS,1060,CISCO1,0.178001403809
2026/08/02,RG 1080 - VPN,1080,SUPERPAY,0.112011909473
2026/08/02,RG 1192 - NTRA & Governmental,1192,DG,0.096834182715
2026/08/02,RG 1060 - DNS,1060,GS-EETC,0.084388732910
2026/08/02,RG 1192 - NTRA & Governmental,1192,ELARABY.INT,0.063934326172
2026/08/02,RG 1192 - NTRA & Governmental,1192,TAMWELY,0.036962509180
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,MAAK,0.029520034766
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,NPO.HS,0.025135993945
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,ISCORE.CUST,0.024423599219
2026/08/02,RG 1060 - DNS,1060,SHC-WATER,0.020381927539
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,GO.ETISALAT,0.016765594531
2026/08/02,RG 1192 - NTRA & Governmental,1192,MAAK,0.013933181738
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,MOHP-ET,0.008926391602
2026/08/02,RG 1060 - DNS,1060,ELMENUS,0.008884429980
2026/08/02,RG 1060 - DNS,1060,ECFC,0.006969451953
2026/08/02,RG 1060 - DNS,1060,NPO.HS2,0.005607604980
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,ELARABY.INT,0.003868103027
2026/08/02,RG 1202 - Speed test,1202,STATIC,0.002334594727
2026/08/02,RG 1192 - NTRA & Governmental,1192,EASTERNEGYPT.PUBLIC,0.002237319922
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,ETISALAT.DGW.TEST,0.001014709473
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,ECFC,0.000814437891
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,MOMKEN,0.000383377051
2026/08/02,RG 1060 - DNS,1060,EDS,0.000213623047
2026/08/02,RG 1192 - NTRA & Governmental,1192,GEDIA,0E-12
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,CISCO1,0E-12
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,ELMENUS,0E-12
2026/08/02,RG 1192 - NTRA & Governmental,1192,CIVIL-PROTECTION,0E-12
2026/08/02,RG 1080 - VPN,1080,CISCO1,0E-12
