myday,rating_group_name,rg_id,apn,ccr_charge_traffic_mb
2026/07/30,RG 1192 - NTRA & Governmental,1192,ETISALAT,17202703.875223159766
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,ETISALAT,16227229.119584083594
2026/07/30,RG 1060 - DNS,1060,ETISALAT,13175928.407470703125
2026/07/30,RG 1080 - VPN,1080,INTERNET.ETISALAT,1865063.061420440723
2026/07/30,RG 1080 - VPN,1080,ETISALAT,1258242.740057945215
2026/07/30,RG 1060 - DNS,1060,INTERNET.ETISALAT,415786.369265556348
2026/07/30,RG 1192 - NTRA & Governmental,1192,INTERNET.ETISALAT,180690.594600677539
2026/07/30,RG 1202 - Speed test,1202,ETISALAT,167726.383586883594
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,INTERNET.ETISALAT,68084.009119987500
2026/07/30,RG 1060 - DNS,1060,FWA.ETISALAT,44148.485797882129
2026/07/30,RG 1080 - VPN,1080,FWA.ETISALAT,35770.111407279980
2026/07/30,RG 1192 - NTRA & Governmental,1192,FWA.ETISALAT,10178.326685905469
2026/07/30,RG 1080 - VPN,1080,STATICPUBLIC3,8513.930420875586
2026/07/30,RG 1197 - Ta3leemy,1197,INTERNET.ETISALAT,7397.943641662598
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,FWA.ETISALAT,2803.902617454492
2026/07/30,RG 1060 - DNS,1060,OPAY,2298.408337593066
2026/07/30,RG 1192 - NTRA & Governmental,1192,STATICPUBLIC3,1739.378470420801
2026/07/30,RG 1060 - DNS,1060,AB-ETISALAT,1544.914622306836
2026/07/30,RG 1060 - DNS,1060,GEDIA,1339.034573554980
2026/07/30,RG 1060 - DNS,1060,MOMKEN,791.351103782617
2026/07/30,RG 1060 - DNS,1060,TAMWELY,439.525434494043
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,STATICPUBLIC3,283.656950950586
2026/07/30,RG 1060 - DNS,1060,GEIDEA,245.559470176660
2026/07/30,RG 1060 - DNS,1060,NPO.HS,172.063986778223
2026/07/30,RG 1060 - DNS,1060,ALARABY,167.623519897461
2026/07/30,RG 1060 - DNS,1060,STATICPUBLIC3,72.089677810645
2026/07/30,RG 1060 - DNS,1060,ELARABY.INT,49.412301063574
2026/07/30,RG 1060 - DNS,1060,MAAK,44.996010780371
2026/07/30,RG 1060 - DNS,1060,KASHIER1,31.287303924609
2026/07/30,RG 1060 - DNS,1060,CIVIL-PROTECTION,25.277004241992
2026/07/30,RG 1060 - DNS,1060,GO.ETISALAT,25.199945449805
2026/07/30,RG 1060 - DNS,1060,PEPSICO,20.587062835742
2026/07/30,RG 1060 - DNS,1060,PAYMOB,20.121517181445
2026/07/30,RG 1080 - VPN,1080,NPO.HS,16.739307403613
2026/07/30,RG 1060 - DNS,1060,EASTERNEGYPT.PUBLIC,15.983707428027
2026/07/30,RG 1060 - DNS,1060,LIME,15.245738029492
2026/07/30,RG 1060 - DNS,1060,THEQAPAY,15.150666236914
2026/07/30,RG 1060 - DNS,1060,PEPSICO2,10.675868988086
2026/07/30,RG 1060 - DNS,1060,STATIC,8.434133529688
2026/07/30,RG 1060 - DNS,1060,MACDONALD,3.854103088379
2026/07/30,RG 1060 - DNS,1060,ISCORE.CUST,2.688491821289
2026/07/30,RG 1060 - DNS,1060,EGCASH.CAM,1.969461441016
2026/07/30,RG 1060 - DNS,1060,AREEBAEET,1.940139770508
2026/07/30,RG 1202 - Speed test,1202,INTERNET.ETISALAT,1.879169464160
2026/07/30,RG 1060 - DNS,1060,DG,1.742871284473
2026/07/30,RG 1060 - DNS,1060,GCSDC,1.346054077148
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,NPO.HS,1.286770820605
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,TAMWELY,1.217110633887
2026/07/30,RG 1192 - NTRA & Governmental,1192,CISCO1,1.157631874121
2026/07/30,RG 1060 - DNS,1060,EDS,1.077655792285
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,CISCO1,0.911740303027
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,STATIC,0.735102653516
2026/07/30,RG 1060 - DNS,1060,CISCO1,0.548122406055
2026/07/30,RG 1060 - DNS,1060,ETISALAT.DGW.TEST,0.508880615234
2026/07/30,RG 1080 - VPN,1080,CISCO1,0.410130500781
2026/07/30,RG 1192 - NTRA & Governmental,1192,STATIC,0.370495796191
2026/07/30,RG 1202 - Speed test,1202,FWA.ETISALAT,0.338309287988
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,ETISALAT.DGW.TEST,0.237862587012
2026/07/30,RG 1060 - DNS,1060,GS-EETC,0.123443603516
2026/07/30,RG 1080 - VPN,1080,SUPERPAY,0.050082206738
2026/07/30,RG 1060 - DNS,1060,CIVIL-PROTECTION-CAM,0.043587684668
2026/07/30,RG 1192 - NTRA & Governmental,1192,ELARABY.INT,0.042657852148
2026/07/30,RG 1060 - DNS,1060,COMBO.ETISALAT,0.036723136914
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,MAAK,0.033123016406
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,ISCORE.CUST,0.027585029590
2026/07/30,RG 1060 - DNS,1060,ELMENUS,0.021007537891
2026/07/30,RG 1060 - DNS,1060,SHC-WATER,0.019828796387
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,EDS,0.014245033301
2026/07/30,RG 1060 - DNS,1060,ECFC,0.013801574707
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,ELARABY.INT,0.008545875586
2026/07/30,RG 1060 - DNS,1060,NPO.HS2,0.007896423340
2026/07/30,RG 1192 - NTRA & Governmental,1192,MAAK,0.007158279395
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,MOHP-ET,0.006508827246
2026/07/30,RG 1202 - Speed test,1202,STATIC,0.001430511523
2026/07/30,RG 1192 - NTRA & Governmental,1192,DG,0.001218795801
2026/07/30,RG 1192 - NTRA & Governmental,1192,CIVIL-PROTECTION,0.001182556152
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,OPAY,0.000894546484
2026/07/30,RG 1192 - NTRA & Governmental,1192,MOMKEN,0.000887870801
2026/07/30,RG 1060 - DNS,1060,STS,0.000495910645
2026/07/30,RG 1165 - shuffle music,1165,ETISALAT,0.000457763672
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,ETIT,0.000247955371
2026/07/30,RG 1192 - NTRA & Governmental,1192,ISCORE.CUST,0E-12
2026/07/30,RG 1192 - NTRA & Governmental,1192,TAMWELY,0E-12
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,DG,0E-12
2026/07/30,RG 1192 - NTRA & Governmental,1192,PEPSICO2,0E-12
2026/07/30,RG 1192 - NTRA & Governmental,1192,GEIDEA,0E-12
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,GEIDEA,0E-12
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,ELMENUS,0E-12
2026/07/30,RG 1202 - Speed test,1202,ISCORE.CUST,0E-12
2026/07/30,RG 1192 - NTRA & Governmental,1192,GEDIA,0E-12
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,GO.ETISALAT,
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,GEDIA,
2026/07/30,RG 1060 - DNS,1060,FOE,
2026/07/30,RG 1060 - DNS,1060,MOHP-ET,
2026/07/30,RG 1080 - VPN,1080,MOHP-ET,
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,MACDONALD,
2026/07/30,RG 1202 - Speed test,1202,NPO.HS,
2026/07/30,RG 1192 - NTRA & Governmental,1192,GO.ETISALAT,
