myday,rating_group_name,rg_id,apn,ccr_charge_traffic_mb
2026/08/05,RG 1192 - NTRA & Governmental,1192,ETISALAT,18721183.177032470703
2026/08/05,RG 1193 - My Etisalat & Notifications,1193,ETISALAT,14799326.156382560742
2026/08/05,RG 1060 - DNS,1060,ETISALAT,12721201.915008544922
2026/08/05,RG 1080 - VPN,1080,INTERNET.ETISALAT,1763505.039216041602
2026/08/05,RG 1080 - VPN,1080,ETISALAT,1122839.715138435352
2026/08/05,RG 1060 - DNS,1060,INTERNET.ETISALAT,476018.714212417578
2026/08/05,RG 1192 - NTRA & Governmental,1192,INTERNET.ETISALAT,177105.361151695215
2026/08/05,RG 1202 - Speed test,1202,ETISALAT,154218.914273262012
2026/08/05,RG 1193 - My Etisalat & Notifications,1193,INTERNET.ETISALAT,46153.197684287988
2026/08/05,RG 1060 - DNS,1060,FWA.ETISALAT,45558.102061271680
2026/08/05,RG 1080 - VPN,1080,FWA.ETISALAT,35939.452948570215
2026/08/05,RG 1192 - NTRA & Governmental,1192,FWA.ETISALAT,9544.455728530859
2026/08/05,RG 1080 - VPN,1080,STATICPUBLIC3,8488.027994155859
2026/08/05,RG 1197 - Ta3leemy,1197,INTERNET.ETISALAT,3171.443242073047
2026/08/05,RG 1193 - My Etisalat & Notifications,1193,FWA.ETISALAT,2885.667151451074
2026/08/05,RG 1060 - DNS,1060,OPAY,2215.248899459863
2026/08/05,RG 1192 - NTRA & Governmental,1192,STATICPUBLIC3,1885.108326911914
2026/08/05,RG 1060 - DNS,1060,AB-ETISALAT,1470.940625190723
2026/08/05,RG 1060 - DNS,1060,GEDIA,1224.938344001758
2026/08/05,RG 1060 - DNS,1060,MOMKEN,758.215608596777
2026/08/05,RG 1060 - DNS,1060,TAMWELY,467.808976173438
2026/08/05,RG 1060 - DNS,1060,GEIDEA,215.877458572363
2026/08/05,RG 1060 - DNS,1060,ALARABY,152.284996986426
2026/08/05,RG 1060 - DNS,1060,STATICPUBLIC3,86.943970680273
2026/08/05,RG 1060 - DNS,1060,NPO.HS,67.736865997363
2026/08/05,RG 1060 - DNS,1060,MAAK,55.039523124707
2026/08/05,RG 1060 - DNS,1060,CIVIL-PROTECTION,45.561077117969
2026/08/05,RG 1193 - My Etisalat & Notifications,1193,STATICPUBLIC3,44.424848556543
2026/08/05,RG 1060 - DNS,1060,ELARABY.INT,36.801544189453
2026/08/05,RG 1060 - DNS,1060,KASHIER1,28.978098869336
2026/08/05,RG 1060 - DNS,1060,PAYMOB,21.973808288574
2026/08/05,RG 1060 - DNS,1060,THEQAPAY,15.124412536621
2026/08/05,RG 1060 - DNS,1060,LIME,14.624004364063
2026/08/05,RG 1060 - DNS,1060,GO.ETISALAT,11.547369956934
2026/08/05,RG 1060 - DNS,1060,PEPSICO2,10.872633933984
2026/08/05,RG 1060 - DNS,1060,PEPSICO,8.662906646777
2026/08/05,RG 1060 - DNS,1060,ISCORE.CUST,8.041593551660
2026/08/05,RG 1060 - DNS,1060,EASTERNEGYPT.PUBLIC,7.128387451172
2026/08/05,RG 1060 - DNS,1060,STATIC,5.885681152344
2026/08/05,RG 1060 - DNS,1060,TAHWEESHA,4.571865081836
2026/08/05,RG 1060 - DNS,1060,GCSDC,3.836914062500
2026/08/05,RG 1060 - DNS,1060,DG,2.907168388379
2026/08/05,RG 1060 - DNS,1060,MACDONALD,2.453311920215
2026/08/05,RG 1060 - DNS,1060,EGCASH.CAM,2.236291885352
2026/08/05,RG 1202 - Speed test,1202,INTERNET.ETISALAT,1.893066406250
2026/08/05,RG 1060 - DNS,1060,COMBO.ETISALAT,1.721364975000
2026/08/05,RG 1060 - DNS,1060,AREEBAEET,1.642024993945
2026/08/05,RG 1080 - VPN,1080,NPO.HS,0.584559440625
2026/08/05,RG 1060 - DNS,1060,ETISALAT.DGW.TEST,0.516998291016
2026/08/05,RG 1202 - Speed test,1202,FWA.ETISALAT,0.393448829688
2026/08/05,RG 1060 - DNS,1060,GS-EETC,0.381523132324
2026/08/05,RG 1060 - DNS,1060,CISCO1,0.314353942871
2026/08/05,RG 1192 - NTRA & Governmental,1192,STATIC,0.303330421484
2026/08/05,RG 1080 - VPN,1080,SUPERPAY,0.240196228027
2026/08/05,RG 1193 - My Etisalat & Notifications,1193,TAMWELY,0.156141281152
2026/08/05,RG 1060 - DNS,1060,ELMENUS,0.080852508594
2026/08/05,RG 1193 - My Etisalat & Notifications,1193,CISCO1,0.045676231348
2026/08/05,RG 1060 - DNS,1060,CIVIL-PROTECTION-CAM,0.034133911133
2026/08/05,RG 1193 - My Etisalat & Notifications,1193,MAAK,0.028741836523
2026/08/05,RG 1193 - My Etisalat & Notifications,1193,ISCORE.CUST,0.025539398242
2026/08/05,RG 1193 - My Etisalat & Notifications,1193,NPO.HS,0.024986267090
2026/08/05,RG 1060 - DNS,1060,ECFC,0.023750305176
2026/08/05,RG 1060 - DNS,1060,SHC-WATER,0.023258209277
2026/08/05,RG 1192 - NTRA & Governmental,1192,ELARABY.INT,0.021938324023
2026/08/05,RG 1193 - My Etisalat & Notifications,1193,GO.ETISALAT,0.018825531055
2026/08/05,RG 1192 - NTRA & Governmental,1192,EASTERNEGYPT.PUBLIC,0.014833450293
2026/08/05,RG 1192 - NTRA & Governmental,1192,LIME,0.011505126953
2026/08/05,RG 1192 - NTRA & Governmental,1192,GO.ETISALAT,0.009384155273
2026/08/05,RG 1193 - My Etisalat & Notifications,1193,STATIC,0.007627487207
2026/08/05,RG 1060 - DNS,1060,NPO.HS2,0.007209777832
2026/08/05,RG 1192 - NTRA & Governmental,1192,PEPSICO2,0.005782127344
2026/08/05,RG 1193 - My Etisalat & Notifications,1193,ELARABY.INT,0.003569602930
2026/08/05,RG 1192 - NTRA & Governmental,1192,CIVIL-PROTECTION,0.003432273828
2026/08/05,RG 1192 - NTRA & Governmental,1192,ISCORE.CUST,0.003081321680
2026/08/05,RG 1192 - NTRA & Governmental,1192,MAAK,0.002367973340
2026/08/05,RG 1202 - Speed test,1202,STATIC,0.002189636230
2026/08/05,RG 1193 - My Etisalat & Notifications,1193,ECFC,0.001628875781
2026/08/05,RG 1165 - shuffle music,1165,ETISALAT,0.001553535449
2026/08/05,RG 1060 - DNS,1060,DFISIM,0.000976562500
2026/08/05,RG 1193 - My Etisalat & Notifications,1193,DG,0E-12
2026/08/05,RG 1193 - My Etisalat & Notifications,1193,GEDIA,0E-12
2026/08/05,RG 1202 - Speed test,1202,ISCORE.CUST,0E-12
2026/08/05,RG 1192 - NTRA & Governmental,1192,TAMWELY,0E-12
2026/08/05,RG 1192 - NTRA & Governmental,1192,DG,0E-12
2026/08/05,RG 1192 - NTRA & Governmental,1192,GEDIA,0E-12
2026/08/05,RG 1202 - Speed test,1202,NPO.HS,
2026/08/05,RG 1080 - VPN,1080,CISCO1,
2026/08/05,RG 1192 - NTRA & Governmental,1192,OPAY,
2026/08/05,RG 1193 - My Etisalat & Notifications,1193,ETISALAT.DGW.TEST,
2026/08/05,RG 1192 - NTRA & Governmental,1192,ETISALAT.DGW.TEST,
2026/08/05,RG 1060 - DNS,1060,IDH-VPN,
