myday,rating_group_name,rg_id,apn,ccr_charge_traffic_mb
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,ETISALAT,16357318.188041687012
2026/07/29,RG 1192 - NTRA & Governmental,1192,ETISALAT,16183319.006152153027
2026/07/29,RG 1060 - DNS,1060,ETISALAT,13826249.650361061133
2026/07/29,RG 1080 - VPN,1080,INTERNET.ETISALAT,1860131.477015495313
2026/07/29,RG 1080 - VPN,1080,ETISALAT,1204650.568577766406
2026/07/29,RG 1060 - DNS,1060,INTERNET.ETISALAT,451342.546501159668
2026/07/29,RG 1192 - NTRA & Governmental,1192,INTERNET.ETISALAT,195963.025001525879
2026/07/29,RG 1202 - Speed test,1202,ETISALAT,168129.879318237305
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,INTERNET.ETISALAT,62610.403225898730
2026/07/29,RG 1060 - DNS,1060,FWA.ETISALAT,47444.885550498926
2026/07/29,RG 1080 - VPN,1080,FWA.ETISALAT,44114.444866180469
2026/07/29,RG 1192 - NTRA & Governmental,1192,FWA.ETISALAT,15279.778624534570
2026/07/29,RG 1080 - VPN,1080,STATICPUBLIC3,8340.030165672266
2026/07/29,RG 1197 - Ta3leemy,1197,INTERNET.ETISALAT,7038.425207138086
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,FWA.ETISALAT,3342.682974815332
2026/07/29,RG 1060 - DNS,1060,OPAY,2291.217497825586
2026/07/29,RG 1192 - NTRA & Governmental,1192,STATICPUBLIC3,1805.455676078809
2026/07/29,RG 1060 - DNS,1060,AB-ETISALAT,1493.565149307227
2026/07/29,RG 1060 - DNS,1060,GEDIA,1284.750295639063
2026/07/29,RG 1060 - DNS,1060,MOMKEN,767.054068565332
2026/07/29,RG 1060 - DNS,1060,TAMWELY,459.844484329199
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,STATICPUBLIC3,303.010924339258
2026/07/29,RG 1060 - DNS,1060,GEIDEA,203.801895141602
2026/07/29,RG 1060 - DNS,1060,ALARABY,171.295084953320
2026/07/29,RG 1060 - DNS,1060,NPO.HS,99.597771644629
2026/07/29,RG 1060 - DNS,1060,STATICPUBLIC3,93.708424568164
2026/07/29,RG 1060 - DNS,1060,MAAK,41.358040809668
2026/07/29,RG 1060 - DNS,1060,CIVIL-PROTECTION,34.485576629688
2026/07/29,RG 1060 - DNS,1060,ELARABY.INT,32.711744308496
