myday,rating_group_name,rg_id,apn,ccr_charge_traffic_mb
2026/08/01,RG 1192 - NTRA & Governmental,1192,ETISALAT,16455008.001293182422
2026/08/01,RG 1193 - My Etisalat & Notifications,1193,ETISALAT,16383158.341283798242
2026/08/01,RG 1060 - DNS,1060,ETISALAT,13398736.853966712988
2026/08/01,RG 1080 - VPN,1080,INTERNET.ETISALAT,1448603.318300247168
2026/08/01,RG 1080 - VPN,1080,ETISALAT,617312.407298088086
2026/08/01,RG 1060 - DNS,1060,INTERNET.ETISALAT,451356.711792945898
2026/08/01,RG 1202 - Speed test,1202,ETISALAT,164667.253789901758
2026/08/01,RG 1192 - NTRA & Governmental,1192,INTERNET.ETISALAT,154270.973335266113
2026/08/01,RG 1193 - My Etisalat & Notifications,1193,INTERNET.ETISALAT,73019.665525436426
2026/08/01,RG 1060 - DNS,1060,FWA.ETISALAT,43196.902578353906
2026/08/01,RG 1080 - VPN,1080,FWA.ETISALAT,16513.602008819629
2026/08/01,RG 1080 - VPN,1080,STATICPUBLIC3,8842.968888282813
2026/08/01,RG 1192 - NTRA & Governmental,1192,FWA.ETISALAT,8093.567694663965
2026/08/01,RG 1197 - Ta3leemy,1197,INTERNET.ETISALAT,3607.613713264453
2026/08/01,RG 1193 - My Etisalat & Notifications,1193,FWA.ETISALAT,3256.256524086035
2026/08/01,RG 1060 - DNS,1060,OPAY,2295.831352233887
2026/08/01,RG 1060 - DNS,1060,AB-ETISALAT,1692.991147995020
2026/08/01,RG 1192 - NTRA & Governmental,1192,STATICPUBLIC3,1549.707562446582
2026/08/01,RG 1060 - DNS,1060,GEDIA,1380.608060836816
2026/08/01,RG 1060 - DNS,1060,MOMKEN,793.651989936816
2026/08/01,RG 1060 - DNS,1060,TAMWELY,299.064796447754
2026/08/01,RG 1060 - DNS,1060,NPO.HS,283.108907699609
2026/08/01,RG 1060 - DNS,1060,GEIDEA,243.302253723145
2026/08/01,RG 1060 - DNS,1060,ALARABY,158.453063011133
2026/08/01,RG 1060 - DNS,1060,STATICPUBLIC3,70.908651351953
2026/08/01,RG 1060 - DNS,1060,GO.ETISALAT,39.284438133203
2026/08/01,RG 1193 - My Etisalat & Notifications,1193,STATICPUBLIC3,38.010784149219
2026/08/01,RG 1060 - DNS,1060,CIVIL-PROTECTION,29.453571319629
2026/08/01,RG 1060 - DNS,1060,KASHIER1,26.696182250977
2026/08/01,RG 1060 - DNS,1060,ELARABY.INT,25.620380401660
2026/08/01,RG 1060 - DNS,1060,EASTERNEGYPT.PUBLIC,21.347251892090
2026/08/01,RG 1060 - DNS,1060,PAYMOB,18.303459167480
2026/08/01,RG 1060 - DNS,1060,PEPSICO,17.903217315723
2026/08/01,RG 1060 - DNS,1060,PEPSICO2,13.161284446680
2026/08/01,RG 1060 - DNS,1060,THEQAPAY,11.770530700684
2026/08/01,RG 1060 - DNS,1060,LIME,10.540248870898
2026/08/01,RG 1060 - DNS,1060,STATIC,5.925949096680
2026/08/01,RG 1060 - DNS,1060,MACDONALD,5.668931961035
2026/08/01,RG 1060 - DNS,1060,MAAK,5.322196960449
2026/08/01,RG 1060 - DNS,1060,COMBO.ETISALAT,2.053182601953
2026/08/01,RG 1060 - DNS,1060,GCSDC,1.975059509277
2026/08/01,RG 1202 - Speed test,1202,INTERNET.ETISALAT,1.951577186621
2026/08/01,RG 1060 - DNS,1060,AREEBAEET,1.876369476367
2026/08/01,RG 1060 - DNS,1060,EGCASH.CAM,1.628551483203
2026/08/01,RG 1192 - NTRA & Governmental,1192,STATIC,1.245328903223
2026/08/01,RG 1080 - VPN,1080,NPO.HS,1.066286087012
2026/08/01,RG 1060 - DNS,1060,ISCORE.CUST,0.885303497363
2026/08/01,RG 1060 - DNS,1060,CISCO1,0.422747612012
2026/08/01,RG 1202 - Speed test,1202,FWA.ETISALAT,0.320358276367
