myday,rating_group_name,rg_id,apn,unique_users
2026/08/05,RG 1060 - DNS,1060,ETISALAT,16899164
2026/08/05,RG 1193 - My Etisalat & Notifications,1193,ETISALAT,5600896
2026/08/05,RG 1192 - NTRA & Governmental,1192,ETISALAT,1901316
2026/08/05,RG 1060 - DNS,1060,INTERNET.ETISALAT,269078
2026/08/05,RG 1080 - VPN,1080,ETISALAT,261664
2026/08/05,RG 1193 - My Etisalat & Notifications,1193,INTERNET.ETISALAT,123715
2026/08/05,RG 1192 - NTRA & Governmental,1192,INTERNET.ETISALAT,100424
2026/08/05,RG 1202 - Speed test,1202,ETISALAT,25644
2026/08/05,RG 1080 - VPN,1080,INTERNET.ETISALAT,25574
2026/08/05,RG 1060 - DNS,1060,GEDIA,14597
2026/08/05,RG 1060 - DNS,1060,FWA.ETISALAT,14582
2026/08/05,RG 1060 - DNS,1060,OPAY,13767
2026/08/05,RG 1193 - My Etisalat & Notifications,1193,FWA.ETISALAT,12062
2026/08/05,RG 1192 - NTRA & Governmental,1192,FWA.ETISALAT,8152
2026/08/05,RG 1060 - DNS,1060,MOMKEN,5798
2026/08/05,RG 1202 - Speed test,1202,INTERNET.ETISALAT,2795
2026/08/05,RG 1080 - VPN,1080,FWA.ETISALAT,2468
2026/08/05,RG 1060 - DNS,1060,GEIDEA,2272
2026/08/05,RG 1060 - DNS,1060,STATICPUBLIC3,1856
2026/08/05,RG 1060 - DNS,1060,TAMWELY,1319
2026/08/05,RG 1060 - DNS,1060,AB-ETISALAT,1048
2026/08/05,RG 1060 - DNS,1060,NPO.HS,939
2026/08/05,RG 1197 - Ta3leemy,1197,INTERNET.ETISALAT,762
2026/08/05,RG 1192 - NTRA & Governmental,1192,STATICPUBLIC3,656
2026/08/05,RG 1060 - DNS,1060,THEQAPAY,641
2026/08/05,RG 1202 - Speed test,1202,FWA.ETISALAT,391
2026/08/05,RG 1060 - DNS,1060,PAYMOB,318
2026/08/05,RG 1193 - My Etisalat & Notifications,1193,STATICPUBLIC3,297
2026/08/05,RG 1060 - DNS,1060,ALARABY,276
