myday,rating_group_name,rg_id,apn,unique_users
2026/08/02,RG 1060 - DNS,1060,ETISALAT,16811224
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,ETISALAT,5675346
2026/08/02,RG 1192 - NTRA & Governmental,1192,ETISALAT,1857668
2026/08/02,RG 1060 - DNS,1060,INTERNET.ETISALAT,267523
2026/08/02,RG 1080 - VPN,1080,ETISALAT,266774
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,INTERNET.ETISALAT,120577
2026/08/02,RG 1192 - NTRA & Governmental,1192,INTERNET.ETISALAT,98034
2026/08/02,RG 1080 - VPN,1080,INTERNET.ETISALAT,27701
2026/08/02,RG 1202 - Speed test,1202,ETISALAT,25253
2026/08/02,RG 1060 - DNS,1060,FWA.ETISALAT,14420
2026/08/02,RG 1060 - DNS,1060,GEDIA,13821
2026/08/02,RG 1060 - DNS,1060,OPAY,13715
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,FWA.ETISALAT,11778
2026/08/02,RG 1192 - NTRA & Governmental,1192,FWA.ETISALAT,8253
2026/08/02,RG 1060 - DNS,1060,MOMKEN,5788
2026/08/02,RG 1202 - Speed test,1202,INTERNET.ETISALAT,2634
2026/08/02,RG 1080 - VPN,1080,FWA.ETISALAT,2503
2026/08/02,RG 1060 - DNS,1060,GEIDEA,2230
2026/08/02,RG 1060 - DNS,1060,STATICPUBLIC3,1824
2026/08/02,RG 1060 - DNS,1060,TAMWELY,1292
2026/08/02,RG 1060 - DNS,1060,AB-ETISALAT,1050
2026/08/02,RG 1060 - DNS,1060,NPO.HS,900
2026/08/02,RG 1197 - Ta3leemy,1197,INTERNET.ETISALAT,785
2026/08/02,RG 1192 - NTRA & Governmental,1192,STATICPUBLIC3,649
2026/08/02,RG 1060 - DNS,1060,THEQAPAY,629
2026/08/02,RG 1202 - Speed test,1202,FWA.ETISALAT,353
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,STATICPUBLIC3,314
2026/08/02,RG 1060 - DNS,1060,ALARABY,303
2026/08/02,RG 1060 - DNS,1060,PAYMOB,268
2026/08/02,RG 1080 - VPN,1080,STATICPUBLIC3,202
2026/08/02,RG 1060 - DNS,1060,KASHIER1,123
2026/08/02,RG 1060 - DNS,1060,MOHP-ET,97
2026/08/02,RG 1060 - DNS,1060,SHC-WATER,90
2026/08/02,RG 1060 - DNS,1060,EASTERNEGYPT.PUBLIC,67
2026/08/02,RG 1060 - DNS,1060,GO.ETISALAT,46
2026/08/02,RG 1060 - DNS,1060,CIVIL-PROTECTION,33
2026/08/02,RG 1060 - DNS,1060,ISCORE.CUST,31
2026/08/02,RG 1060 - DNS,1060,EGCASH.CAM,26
2026/08/02,RG 1060 - DNS,1060,ELARABY.INT,21
2026/08/02,RG 1060 - DNS,1060,AREEBAEET,20
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,NPO.HS,17
2026/08/02,RG 1060 - DNS,1060,LIME,16
2026/08/02,RG 1060 - DNS,1060,MAAK,13
2026/08/02,RG 1060 - DNS,1060,ECFC,13
2026/08/02,RG 1080 - VPN,1080,NPO.HS,12
2026/08/02,RG 1060 - DNS,1060,GS-EETC,11
2026/08/02,RG 1192 - NTRA & Governmental,1192,ELARABY.INT,11
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,TAMWELY,9
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,MAAK,7
2026/08/02,RG 1080 - VPN,1080,SUPERPAY,7
2026/08/02,RG 1192 - NTRA & Governmental,1192,ISCORE.CUST,5
2026/08/02,RG 1060 - DNS,1060,STATIC,4
2026/08/02,RG 1060 - DNS,1060,CISCO1,3
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,ELARABY.INT,3
2026/08/02,RG 1192 - NTRA & Governmental,1192,MAAK,3
2026/08/02,RG 1192 - NTRA & Governmental,1192,STATIC,2
2026/08/02,RG 1060 - DNS,1060,PEPSICO,2
2026/08/02,RG 1060 - DNS,1060,VALU,2
2026/08/02,RG 1192 - NTRA & Governmental,1192,GEDIA,2
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,STATIC,2
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,GO.ETISALAT,2
2026/08/02,RG 1202 - Speed test,1202,NPO.HS,2
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,CISCO1,2
2026/08/02,RG 1192 - NTRA & Governmental,1192,TAMWELY,2
2026/08/02,RG 1060 - DNS,1060,ETISALAT.DGW.TEST,2
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,MOMKEN,1
2026/08/02,RG 1060 - DNS,1060,EDS,1
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,MACDONALD,1
2026/08/02,RG 1192 - NTRA & Governmental,1192,MOMKEN,1
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,MOHP-ET,1
2026/08/02,RG 1192 - NTRA & Governmental,1192,CIVIL-PROTECTION,1
2026/08/02,RG 1080 - VPN,1080,CISCO1,1
2026/08/02,RG 1202 - Speed test,1202,STATIC,1
2026/08/02,RG 1080 - VPN,1080,STATIC,1
2026/08/02,RG 1193 - My Etisalat & Notifications,1193,ETISALAT.DGW.TEST,1
2026/08/02,RG 1003 - FB_AutoFlex,1003,ETISALAT,1
