myday,rating_group_name,rg_id,apn,unique_users
2026/07/30,RG 1060 - DNS,1060,ETISALAT,16752959
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,ETISALAT,5746161
2026/07/30,RG 1192 - NTRA & Governmental,1192,ETISALAT,1723711
2026/07/30,RG 1080 - VPN,1080,ETISALAT,272971
2026/07/30,RG 1060 - DNS,1060,INTERNET.ETISALAT,247006
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,INTERNET.ETISALAT,114088
2026/07/30,RG 1192 - NTRA & Governmental,1192,INTERNET.ETISALAT,86163
2026/07/30,RG 1202 - Speed test,1202,ETISALAT,25874
2026/07/30,RG 1080 - VPN,1080,INTERNET.ETISALAT,25179
2026/07/30,RG 1060 - DNS,1060,GEDIA,14310
2026/07/30,RG 1060 - DNS,1060,FWA.ETISALAT,13961
2026/07/30,RG 1060 - DNS,1060,OPAY,13654
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,FWA.ETISALAT,11911
2026/07/30,RG 1192 - NTRA & Governmental,1192,FWA.ETISALAT,7556
2026/07/30,RG 1060 - DNS,1060,MOMKEN,5774
2026/07/30,RG 1202 - Speed test,1202,INTERNET.ETISALAT,2374
2026/07/30,RG 1060 - DNS,1060,GEIDEA,2233
2026/07/30,RG 1080 - VPN,1080,FWA.ETISALAT,2113
2026/07/30,RG 1060 - DNS,1060,STATICPUBLIC3,1741
2026/07/30,RG 1060 - DNS,1060,TAMWELY,1332
2026/07/30,RG 1060 - DNS,1060,AB-ETISALAT,1049
2026/07/30,RG 1060 - DNS,1060,NPO.HS,907
2026/07/30,RG 1060 - DNS,1060,THEQAPAY,646
2026/07/30,RG 1192 - NTRA & Governmental,1192,STATICPUBLIC3,612
2026/07/30,RG 1197 - Ta3leemy,1197,INTERNET.ETISALAT,555
2026/07/30,RG 1202 - Speed test,1202,FWA.ETISALAT,401
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,STATICPUBLIC3,326
2026/07/30,RG 1060 - DNS,1060,ALARABY,314
2026/07/30,RG 1060 - DNS,1060,PAYMOB,270
2026/07/30,RG 1080 - VPN,1080,STATICPUBLIC3,170
2026/07/30,RG 1060 - DNS,1060,KASHIER1,106
2026/07/30,RG 1060 - DNS,1060,EASTERNEGYPT.PUBLIC,70
2026/07/30,RG 1060 - DNS,1060,SHC-WATER,65
2026/07/30,RG 1060 - DNS,1060,GO.ETISALAT,50
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,NPO.HS,33
2026/07/30,RG 1060 - DNS,1060,CIVIL-PROTECTION,30
2026/07/30,RG 1060 - DNS,1060,ISCORE.CUST,29
2026/07/30,RG 1060 - DNS,1060,EGCASH.CAM,25
2026/07/30,RG 1080 - VPN,1080,NPO.HS,24
2026/07/30,RG 1060 - DNS,1060,AREEBAEET,22
2026/07/30,RG 1060 - DNS,1060,LIME,20
2026/07/30,RG 1060 - DNS,1060,ELARABY.INT,15
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,TAMWELY,13
2026/07/30,RG 1060 - DNS,1060,MAAK,13
2026/07/30,RG 1060 - DNS,1060,GS-EETC,11
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,MAAK,7
2026/07/30,RG 1060 - DNS,1060,ECFC,7
2026/07/30,RG 1192 - NTRA & Governmental,1192,MAAK,6
2026/07/30,RG 1192 - NTRA & Governmental,1192,ELARABY.INT,4
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,CISCO1,4
2026/07/30,RG 1060 - DNS,1060,STATIC,4
2026/07/30,RG 1080 - VPN,1080,SUPERPAY,4
2026/07/30,RG 1060 - DNS,1060,EDS,4
2026/07/30,RG 1060 - DNS,1060,CISCO1,3
2026/07/30,RG 1192 - NTRA & Governmental,1192,ISCORE.CUST,3
2026/07/30,RG 1192 - NTRA & Governmental,1192,GEDIA,3
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,ELARABY.INT,3
2026/07/30,RG 1060 - DNS,1060,ETISALAT.DGW.TEST,2
2026/07/30,RG 1060 - DNS,1060,PEPSICO,2
2026/07/30,RG 1192 - NTRA & Governmental,1192,TAMWELY,2
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,EDS,2
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,STATIC,2
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,MOHP-ET,2
2026/07/30,RG 1060 - DNS,1060,STS,2
2026/07/30,RG 1192 - NTRA & Governmental,1192,STATIC,2
2026/07/30,RG 1080 - VPN,1080,CISCO1,2
2026/07/30,RG 1192 - NTRA & Governmental,1192,CIVIL-PROTECTION,1
2026/07/30,RG 1060 - DNS,1060,MOHP-ET,1
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,ELMENUS,1
2026/07/30,RG 1060 - DNS,1060,MACDONALD,1
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,GEIDEA,1
2026/07/30,RG 1192 - NTRA & Governmental,1192,GO.ETISALAT,1
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,GO.ETISALAT,1
2026/07/30,RG 1192 - NTRA & Governmental,1192,CISCO1,1
2026/07/30,RG 1202 - Speed test,1202,NPO.HS,1
2026/07/30,RG 1060 - DNS,1060,ELMENUS,1
2026/07/30,RG 1192 - NTRA & Governmental,1192,GEIDEA,1
2026/07/30,RG 1192 - NTRA & Governmental,1192,PEPSICO2,1
2026/07/30,RG 1192 - NTRA & Governmental,1192,DG,1
2026/07/30,RG 1060 - DNS,1060,FOE,1
2026/07/30,RG 1192 - NTRA & Governmental,1192,MOMKEN,1
2026/07/30,RG 1060 - DNS,1060,DG,1
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,OPAY,1
2026/07/30,RG 1060 - DNS,1060,COMBO.ETISALAT,1
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,MACDONALD,1
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,ISCORE.CUST,1
2026/07/30,RG 1202 - Speed test,1202,STATIC,1
2026/07/30,RG 1080 - VPN,1080,MOHP-ET,1
2026/07/30,RG 1060 - DNS,1060,CIVIL-PROTECTION-CAM,1
2026/07/30,RG 1060 - DNS,1060,NPO.HS2,1
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,ETISALAT.DGW.TEST,1
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,ETIT,1
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,DG,1
2026/07/30,RG 1202 - Speed test,1202,ISCORE.CUST,1
2026/07/30,RG 1165 - shuffle music,1165,ETISALAT,1
2026/07/30,RG 1060 - DNS,1060,GCSDC,1
2026/07/30,RG 1060 - DNS,1060,PEPSICO2,1
2026/07/30,RG 1193 - My Etisalat & Notifications,1193,GEDIA,1
