myday,rating_group_name,rg_id,apn,unique_users
2026/08/03,RG 1060 - DNS,1060,ETISALAT,16943606
2026/08/03,RG 1193 - My Etisalat & Notifications,1193,ETISALAT,5578292
2026/08/03,RG 1192 - NTRA & Governmental,1192,ETISALAT,1821843
2026/08/03,RG 1060 - DNS,1060,INTERNET.ETISALAT,268841
2026/08/03,RG 1080 - VPN,1080,ETISALAT,262047
2026/08/03,RG 1193 - My Etisalat & Notifications,1193,INTERNET.ETISALAT,124879
2026/08/03,RG 1192 - NTRA & Governmental,1192,INTERNET.ETISALAT,105299
2026/08/03,RG 1080 - VPN,1080,INTERNET.ETISALAT,26741
2026/08/03,RG 1202 - Speed test,1202,ETISALAT,25227
2026/08/03,RG 1060 - DNS,1060,FWA.ETISALAT,14479
2026/08/03,RG 1060 - DNS,1060,GEDIA,14116
2026/08/03,RG 1060 - DNS,1060,OPAY,13723
2026/08/03,RG 1193 - My Etisalat & Notifications,1193,FWA.ETISALAT,12411
2026/08/03,RG 1192 - NTRA & Governmental,1192,FWA.ETISALAT,8731
2026/08/03,RG 1060 - DNS,1060,MOMKEN,5787
2026/08/03,RG 1202 - Speed test,1202,INTERNET.ETISALAT,2757
2026/08/03,RG 1080 - VPN,1080,FWA.ETISALAT,2461
2026/08/03,RG 1060 - DNS,1060,GEIDEA,2232
2026/08/03,RG 1060 - DNS,1060,STATICPUBLIC3,1836
2026/08/03,RG 1060 - DNS,1060,TAMWELY,1309
2026/08/03,RG 1060 - DNS,1060,AB-ETISALAT,1031
2026/08/03,RG 1060 - DNS,1060,NPO.HS,930
2026/08/03,RG 1197 - Ta3leemy,1197,INTERNET.ETISALAT,769
2026/08/03,RG 1192 - NTRA & Governmental,1192,STATICPUBLIC3,646
2026/08/03,RG 1060 - DNS,1060,THEQAPAY,642
2026/08/03,RG 1202 - Speed test,1202,FWA.ETISALAT,362
2026/08/03,RG 1060 - DNS,1060,ALARABY,315
2026/08/03,RG 1193 - My Etisalat & Notifications,1193,STATICPUBLIC3,308
2026/08/03,RG 1060 - DNS,1060,PAYMOB,282
2026/08/03,RG 1080 - VPN,1080,STATICPUBLIC3,180
2026/08/03,RG 1060 - DNS,1060,KASHIER1,119
2026/08/03,RG 1060 - DNS,1060,EASTERNEGYPT.PUBLIC,69
2026/08/03,RG 1060 - DNS,1060,SHC-WATER,65
2026/08/03,RG 1060 - DNS,1060,MOHP-ET,54
2026/08/03,RG 1060 - DNS,1060,GO.ETISALAT,39
2026/08/03,RG 1060 - DNS,1060,CIVIL-PROTECTION,38
2026/08/03,RG 1060 - DNS,1060,ISCORE.CUST,32
2026/08/03,RG 1060 - DNS,1060,EGCASH.CAM,25
