myday,rating_group_name,rg_id,apn,unique_users
2026/08/01,RG 1060 - DNS,1060,ETISALAT,16841695
2026/08/01,RG 1193 - My Etisalat & Notifications,1193,ETISALAT,5818373
2026/08/01,RG 1192 - NTRA & Governmental,1192,ETISALAT,1805031
2026/08/01,RG 1080 - VPN,1080,ETISALAT,273216
2026/08/01,RG 1060 - DNS,1060,INTERNET.ETISALAT,261086
2026/08/01,RG 1193 - My Etisalat & Notifications,1193,INTERNET.ETISALAT,121006
2026/08/01,RG 1192 - NTRA & Governmental,1192,INTERNET.ETISALAT,97622
2026/08/01,RG 1080 - VPN,1080,INTERNET.ETISALAT,27362
2026/08/01,RG 1202 - Speed test,1202,ETISALAT,25602
2026/08/01,RG 1060 - DNS,1060,FWA.ETISALAT,14250
2026/08/01,RG 1060 - DNS,1060,GEDIA,13747
2026/08/01,RG 1060 - DNS,1060,OPAY,13747
2026/08/01,RG 1193 - My Etisalat & Notifications,1193,FWA.ETISALAT,11848
2026/08/01,RG 1192 - NTRA & Governmental,1192,FWA.ETISALAT,8188
2026/08/01,RG 1060 - DNS,1060,MOMKEN,5755
2026/08/01,RG 1202 - Speed test,1202,INTERNET.ETISALAT,2569
2026/08/01,RG 1080 - VPN,1080,FWA.ETISALAT,2273
2026/08/01,RG 1060 - DNS,1060,GEIDEA,2201
2026/08/01,RG 1060 - DNS,1060,STATICPUBLIC3,1724
2026/08/01,RG 1060 - DNS,1060,TAMWELY,1234
2026/08/01,RG 1060 - DNS,1060,AB-ETISALAT,1026
2026/08/01,RG 1060 - DNS,1060,NPO.HS,796
2026/08/01,RG 1197 - Ta3leemy,1197,INTERNET.ETISALAT,702
2026/08/01,RG 1060 - DNS,1060,THEQAPAY,626
2026/08/01,RG 1192 - NTRA & Governmental,1192,STATICPUBLIC3,546
2026/08/01,RG 1202 - Speed test,1202,FWA.ETISALAT,368
2026/08/01,RG 1060 - DNS,1060,ALARABY,314
2026/08/01,RG 1193 - My Etisalat & Notifications,1193,STATICPUBLIC3,308
2026/08/01,RG 1060 - DNS,1060,PAYMOB,257
2026/08/01,RG 1080 - VPN,1080,STATICPUBLIC3,181
2026/08/01,RG 1060 - DNS,1060,KASHIER1,110
2026/08/01,RG 1060 - DNS,1060,MOHP-ET,97
2026/08/01,RG 1060 - DNS,1060,SHC-WATER,64
2026/08/01,RG 1060 - DNS,1060,EASTERNEGYPT.PUBLIC,52
2026/08/01,RG 1060 - DNS,1060,GO.ETISALAT,48
2026/08/01,RG 1060 - DNS,1060,CIVIL-PROTECTION,32
2026/08/01,RG 1193 - My Etisalat & Notifications,1193,NPO.HS,26
2026/08/01,RG 1060 - DNS,1060,ISCORE.CUST,21
2026/08/01,RG 1060 - DNS,1060,EGCASH.CAM,20
2026/08/01,RG 1080 - VPN,1080,NPO.HS,19
2026/08/01,RG 1060 - DNS,1060,AREEBAEET,17
2026/08/01,RG 1060 - DNS,1060,LIME,13
2026/08/01,RG 1060 - DNS,1060,MAAK,13
2026/08/01,RG 1060 - DNS,1060,ELARABY.INT,11
2026/08/01,RG 1060 - DNS,1060,GS-EETC,11
2026/08/01,RG 1060 - DNS,1060,ECFC,8
2026/08/01,RG 1193 - My Etisalat & Notifications,1193,MAAK,7
2026/08/01,RG 1193 - My Etisalat & Notifications,1193,TAMWELY,6
2026/08/01,RG 1060 - DNS,1060,STATIC,5
2026/08/01,RG 1192 - NTRA & Governmental,1192,ELARABY.INT,3
2026/08/01,RG 1193 - My Etisalat & Notifications,1193,GO.ETISALAT,2
2026/08/01,RG 1193 - My Etisalat & Notifications,1193,CISCO1,2
2026/08/01,RG 1192 - NTRA & Governmental,1192,STATIC,2
2026/08/01,RG 1192 - NTRA & Governmental,1192,GO.ETISALAT,2
2026/08/01,RG 1193 - My Etisalat & Notifications,1193,ELARABY.INT,2
2026/08/01,RG 1192 - NTRA & Governmental,1192,ISCORE.CUST,2
2026/08/01,RG 1192 - NTRA & Governmental,1192,MAAK,2
2026/08/01,RG 1060 - DNS,1060,PEPSICO,2
2026/08/01,RG 1193 - My Etisalat & Notifications,1193,STATIC,2
2026/08/01,RG 1192 - NTRA & Governmental,1192,CIVIL-PROTECTION,2
2026/08/01,RG 1060 - DNS,1060,STS,2
2026/08/01,RG 1192 - NTRA & Governmental,1192,GEDIA,2
2026/08/01,RG 1192 - NTRA & Governmental,1192,OPAY,2
2026/08/01,RG 1202 - Speed test,1202,NPO.HS,2
2026/08/01,RG 1060 - DNS,1060,CISCO1,2
