myday,rating_group_name,rg_id,apn,unique_users
2026/07/29,RG 1060 - DNS,1060,ETISALAT,17074283
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,ETISALAT,5800628
2026/07/29,RG 1192 - NTRA & Governmental,1192,ETISALAT,1913834
2026/07/29,RG 1080 - VPN,1080,ETISALAT,269569
2026/07/29,RG 1060 - DNS,1060,INTERNET.ETISALAT,248634
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,INTERNET.ETISALAT,113695
2026/07/29,RG 1192 - NTRA & Governmental,1192,INTERNET.ETISALAT,92607
2026/07/29,RG 1202 - Speed test,1202,ETISALAT,26763
2026/07/29,RG 1080 - VPN,1080,INTERNET.ETISALAT,25688
2026/07/29,RG 1060 - DNS,1060,GEDIA,14152
2026/07/29,RG 1060 - DNS,1060,FWA.ETISALAT,14035
2026/07/29,RG 1060 - DNS,1060,OPAY,13694
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,FWA.ETISALAT,11966
2026/07/29,RG 1192 - NTRA & Governmental,1192,FWA.ETISALAT,8070
2026/07/29,RG 1060 - DNS,1060,MOMKEN,5768
2026/07/29,RG 1202 - Speed test,1202,INTERNET.ETISALAT,2496
2026/07/29,RG 1060 - DNS,1060,GEIDEA,2250
2026/07/29,RG 1080 - VPN,1080,FWA.ETISALAT,2221
2026/07/29,RG 1060 - DNS,1060,STATICPUBLIC3,1771
2026/07/29,RG 1060 - DNS,1060,TAMWELY,1325
2026/07/29,RG 1060 - DNS,1060,AB-ETISALAT,1046
2026/07/29,RG 1060 - DNS,1060,NPO.HS,928
2026/07/29,RG 1060 - DNS,1060,THEQAPAY,647
2026/07/29,RG 1192 - NTRA & Governmental,1192,STATICPUBLIC3,597
2026/07/29,RG 1197 - Ta3leemy,1197,INTERNET.ETISALAT,564
2026/07/29,RG 1202 - Speed test,1202,FWA.ETISALAT,423
2026/07/29,RG 1060 - DNS,1060,ALARABY,345
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,STATICPUBLIC3,327
2026/07/29,RG 1060 - DNS,1060,PAYMOB,271
2026/07/29,RG 1080 - VPN,1080,STATICPUBLIC3,173
2026/07/29,RG 1060 - DNS,1060,KASHIER1,108
2026/07/29,RG 1060 - DNS,1060,SHC-WATER,65
2026/07/29,RG 1060 - DNS,1060,EASTERNEGYPT.PUBLIC,62
2026/07/29,RG 1060 - DNS,1060,GO.ETISALAT,43
2026/07/29,RG 1060 - DNS,1060,CIVIL-PROTECTION,31
2026/07/29,RG 1060 - DNS,1060,ISCORE.CUST,29
2026/07/29,RG 1060 - DNS,1060,EGCASH.CAM,25
2026/07/29,RG 1060 - DNS,1060,AREEBAEET,25
2026/07/29,RG 1060 - DNS,1060,LIME,21
2026/07/29,RG 1060 - DNS,1060,ELARABY.INT,19
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,NPO.HS,16
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,TAMWELY,14
2026/07/29,RG 1060 - DNS,1060,MAAK,13
2026/07/29,RG 1080 - VPN,1080,NPO.HS,12
2026/07/29,RG 1060 - DNS,1060,GS-EETC,11
2026/07/29,RG 1060 - DNS,1060,GCSDC,8
2026/07/29,RG 1060 - DNS,1060,ECFC,8
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,MAAK,7
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,CISCO1,5
2026/07/29,RG 1192 - NTRA & Governmental,1192,MAAK,5
2026/07/29,RG 1192 - NTRA & Governmental,1192,ELARABY.INT,5
2026/07/29,RG 1060 - DNS,1060,STATIC,5
2026/07/29,RG 1192 - NTRA & Governmental,1192,TAMWELY,5
2026/07/29,RG 1192 - NTRA & Governmental,1192,ISCORE.CUST,5
2026/07/29,RG 1060 - DNS,1060,CISCO1,4
2026/07/29,RG 1080 - VPN,1080,CISCO1,3
2026/07/29,RG 1192 - NTRA & Governmental,1192,GEDIA,3
2026/07/29,RG 1060 - DNS,1060,EDS,3
2026/07/29,RG 1080 - VPN,1080,SUPERPAY,3
2026/07/29,RG 1192 - NTRA & Governmental,1192,STATIC,3
2026/07/29,RG 1060 - DNS,1060,PEPSICO,2
2026/07/29,RG 1192 - NTRA & Governmental,1192,LIME,2
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,ELARABY.INT,2
2026/07/29,RG 1060 - DNS,1060,STS,2
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,EDS,2
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,GO.ETISALAT,1
2026/07/29,RG 1060 - DNS,1060,SUPERPAY,1
2026/07/29,RG 1060 - DNS,1060,MACDONALD,1
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,DG,1
2026/07/29,RG 1060 - DNS,1060,COMBO.ETISALAT,1
2026/07/29,RG 1060 - DNS,1060,DG,1
2026/07/29,RG 1202 - Speed test,1202,ISCORE.CUST,1
2026/07/29,RG 1060 - DNS,1060,ELMENUS,1
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,STATIC,1
2026/07/29,RG 1192 - NTRA & Governmental,1192,GEIDEA,1
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,MACDONALD,1
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,OPAY,1
2026/07/29,RG 1192 - NTRA & Governmental,1192,OPAY,1
2026/07/29,RG 1192 - NTRA & Governmental,1192,PEPSICO2,1
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,ELMENUS,1
2026/07/29,RG 1060 - DNS,1060,ETISALAT.DGW.TEST,1
2026/07/29,RG 1192 - NTRA & Governmental,1192,EASTERNEGYPT.PUBLIC,1
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,ETIT,1
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,ISCORE.CUST,1
2026/07/29,RG 1003 - FB_AutoFlex,1003,ETISALAT,1
2026/07/29,RG 1192 - NTRA & Governmental,1192,GO.ETISALAT,1
2026/07/29,RG 1192 - NTRA & Governmental,1192,MOMKEN,1
2026/07/29,RG 1192 - NTRA & Governmental,1192,SUPERPAY,1
2026/07/29,RG 1165 - shuffle music,1165,ETISALAT,1
2026/07/29,RG 1060 - DNS,1060,NPO.HS2,1
2026/07/29,RG 1060 - DNS,1060,PEPSICO2,1
2026/07/29,RG 1193 - My Etisalat & Notifications,1193,GEIDEA,1
2026/07/29,RG 1192 - NTRA & Governmental,1192,ALARABY,1
