myday,rating_group_name,rg_id,apn,unique_users
2026/07/28,RG 1060 - DNS,1060,ETISALAT,16774666
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,ETISALAT,5809738
2026/07/28,RG 1192 - NTRA & Governmental,1192,ETISALAT,1805752
2026/07/28,RG 1080 - VPN,1080,ETISALAT,270553
2026/07/28,RG 1060 - DNS,1060,INTERNET.ETISALAT,249553
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,INTERNET.ETISALAT,114398
2026/07/28,RG 1192 - NTRA & Governmental,1192,INTERNET.ETISALAT,86735
2026/07/28,RG 1202 - Speed test,1202,ETISALAT,27398
2026/07/28,RG 1080 - VPN,1080,INTERNET.ETISALAT,26786
2026/07/28,RG 1060 - DNS,1060,FWA.ETISALAT,14081
2026/07/28,RG 1060 - DNS,1060,GEDIA,13956
2026/07/28,RG 1060 - DNS,1060,OPAY,13687
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,FWA.ETISALAT,12007
2026/07/28,RG 1192 - NTRA & Governmental,1192,FWA.ETISALAT,7755
2026/07/28,RG 1060 - DNS,1060,MOMKEN,5715
2026/07/28,RG 1202 - Speed test,1202,INTERNET.ETISALAT,2489
2026/07/28,RG 1080 - VPN,1080,FWA.ETISALAT,2287
2026/07/28,RG 1060 - DNS,1060,GEIDEA,2248
2026/07/28,RG 1060 - DNS,1060,STATICPUBLIC3,1797
2026/07/28,RG 1060 - DNS,1060,TAMWELY,1350
2026/07/28,RG 1060 - DNS,1060,AB-ETISALAT,1039
2026/07/28,RG 1060 - DNS,1060,NPO.HS,939
2026/07/28,RG 1060 - DNS,1060,THEQAPAY,637
2026/07/28,RG 1192 - NTRA & Governmental,1192,STATICPUBLIC3,604
2026/07/28,RG 1197 - Ta3leemy,1197,INTERNET.ETISALAT,543
2026/07/28,RG 1202 - Speed test,1202,FWA.ETISALAT,417
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,STATICPUBLIC3,327
2026/07/28,RG 1060 - DNS,1060,ALARABY,326
2026/07/28,RG 1060 - DNS,1060,PAYMOB,287
2026/07/28,RG 1080 - VPN,1080,STATICPUBLIC3,167
2026/07/28,RG 1060 - DNS,1060,KASHIER1,115
2026/07/28,RG 1060 - DNS,1060,SHC-WATER,65
2026/07/28,RG 1060 - DNS,1060,EASTERNEGYPT.PUBLIC,64
2026/07/28,RG 1060 - DNS,1060,GO.ETISALAT,39
2026/07/28,RG 1060 - DNS,1060,ISCORE.CUST,32
2026/07/28,RG 1060 - DNS,1060,CIVIL-PROTECTION,31
2026/07/28,RG 1060 - DNS,1060,AREEBAEET,26
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,NPO.HS,25
2026/07/28,RG 1060 - DNS,1060,EGCASH.CAM,23
2026/07/28,RG 1060 - DNS,1060,ECFC,22
2026/07/28,RG 1080 - VPN,1080,NPO.HS,19
2026/07/28,RG 1060 - DNS,1060,ELARABY.INT,16
2026/07/28,RG 1060 - DNS,1060,LIME,16
2026/07/28,RG 1060 - DNS,1060,MAAK,13
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,TAMWELY,11
2026/07/28,RG 1060 - DNS,1060,GS-EETC,11
2026/07/28,RG 1192 - NTRA & Governmental,1192,ISCORE.CUST,7
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,MAAK,7
2026/07/28,RG 1060 - DNS,1060,STATIC,5
2026/07/28,RG 1080 - VPN,1080,SUPERPAY,5
2026/07/28,RG 1192 - NTRA & Governmental,1192,ELARABY.INT,4
2026/07/28,RG 1060 - DNS,1060,GCSDC,4
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,CISCO1,4
2026/07/28,RG 1060 - DNS,1060,CISCO1,4
2026/07/28,RG 1060 - DNS,1060,STS,3
2026/07/28,RG 1192 - NTRA & Governmental,1192,TAMWELY,3
2026/07/28,RG 1080 - VPN,1080,CISCO1,2
2026/07/28,RG 1060 - DNS,1060,EDS,2
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,OPAY,2
2026/07/28,RG 1192 - NTRA & Governmental,1192,MAAK,2
2026/07/28,RG 1202 - Speed test,1202,NPO.HS,2
2026/07/28,RG 1192 - NTRA & Governmental,1192,GEDIA,2
2026/07/28,RG 1060 - DNS,1060,PEPSICO,2
2026/07/28,RG 1060 - DNS,1060,KIDZO1,1
2026/07/28,RG 1060 - DNS,1060,ETISALAT.DGW.TEST,1
2026/07/28,RG 1060 - DNS,1060,ELMENUS,1
2026/07/28,RG 1202 - Speed test,1202,ISCORE.CUST,1
2026/07/28,RG 1080 - VPN,1080,MACDONALD,1
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,MACDONALD,1
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,ISCORE.CUST,1
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,GO.ETISALAT,1
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,STATIC,1
2026/07/28,RG 1192 - NTRA & Governmental,1192,LIME,1
2026/07/28,RG 1060 - DNS,1060,NPO.HS2,1
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,GEIDEA,1
2026/07/28,RG 1003 - FB_AutoFlex,1003,ETISALAT,1
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,ETISALAT.DGW.TEST,1
2026/07/28,RG 1060 - DNS,1060,MACDONALD,1
2026/07/28,RG 1060 - DNS,1060,DG,1
2026/07/28,RG 1192 - NTRA & Governmental,1192,EASTERNEGYPT.PUBLIC,1
2026/07/28,RG 1192 - NTRA & Governmental,1192,GEIDEA,1
2026/07/28,RG 1165 - shuffle music,1165,ETISALAT,1
2026/07/28,RG 1192 - NTRA & Governmental,1192,STATIC,1
2026/07/28,RG 1193 - My Etisalat & Notifications,1193,ELMENUS,1
2026/07/28,RG 1202 - Speed test,1202,STATIC,1
2026/07/28,RG 1060 - DNS,1060,FOE,1
2026/07/28,RG 1192 - NTRA & Governmental,1192,OPAY,1
2026/07/28,RG 1060 - DNS,1060,COMBO.ETISALAT,1
2026/07/28,RG 1060 - DNS,1060,CIVIL-PROTECTION-CAM,1
2026/07/28,RG 1060 - DNS,1060,DARY,1
